SET_ID,RDKIT_SMILES,pIC50,Patent Number,Authors,Date of publication,Institution,Assay Protocol
305317,CCOc1cc(-c2ccc(N3CCC(Oc4ccc(OCCO)nc4)CC3)nc2)c2c(C#N)cnn2c1,5.216024997,US10441581,"Andrews, SW; Aronow, S; Blake, JF; Brandhuber, BJ; Collier, J; Cook, A; Haas, J; Jiang, Y; Kolakowski, GR; McFaddin, EA; McKenney, ML; McNulty, OT; Metcalf, AT; Moreno, DA; Ramann, GA; Tang, TP; Ren, L; Walls, SM",10/15/2019,Array Biopharma Inc.,
296694,COC(C)(C)COc1cc(-c2ccc(N3CC4CC(C3)N4S(=O)(=O)CC3CC3)nc2)c2c(C#N)cnn2c1,5.262330373,US10112942,"Andrews, SW; Aronow, S; Blake, JF; Brandhuber, BJ; Cook, A; Haas, J; Jiang, Y; Kolakowski, GR; McFaddin, EA; McKenney, ML; McNulty, OT; Metcalf, AT; Moreno, DA; Tang, TP; Ren, L",10/30/2018,Array BioPharma Inc,
305645,CN(C)C(=O)Oc1cc(-c2ccc(N3CCC(C)(N=C(O)OC(C)(C)C)CC3)nc2)c2c(C#N)cnn2c1,5.292174432,US10441581,"Andrews, SW; Aronow, S; Blake, JF; Brandhuber, BJ; Collier, J; Cook, A; Haas, J; Jiang, Y; Kolakowski, GR; McFaddin, EA; McKenney, ML; McNulty, OT; Metcalf, AT; Moreno, DA; Ramann, GA; Tang, TP; Ren, L; Walls, SM",10/15/2019,Array Biopharma Inc.,
305521,CCOc1cc(-c2ccc(N3CCC(C)(N=C(O)C(C)N(C)C(=O)OC(C)(C)C)CC3)nc2)c2c(C#N)cnn2c1,5.354283061,US10441581,"Andrews, SW; Aronow, S; Blake, JF; Brandhuber, BJ; Collier, J; Cook, A; Haas, J; Jiang, Y; Kolakowski, GR; McFaddin, EA; McKenney, ML; McNulty, OT; Metcalf, AT; Moreno, DA; Ramann, GA; Tang, TP; Ren, L; Walls, SM",10/15/2019,Array Biopharma Inc.,
305260,COC1CCN(c2ccc(-c3cc(OCC(C)(C)O)cn4ncc(C#N)c34)cn2)CC1,5.355659901,US10441581,"Andrews, SW; Aronow, S; Blake, JF; Brandhuber, BJ; Collier, J; Cook, A; Haas, J; Jiang, Y; Kolakowski, GR; McFaddin, EA; McKenney, ML; McNulty, OT; Metcalf, AT; Moreno, DA; Ramann, GA; Tang, TP; Ren, L; Walls, SM",10/15/2019,Array Biopharma Inc.,
305148,Cc1cccnc1OC1CN(c2ccc(-c3cc(OCC(C)(C)O)cn4ncc(C#N)c34)cn2)C1,5.368454772,US10441581,"Andrews, SW; Aronow, S; Blake, JF; Brandhuber, BJ; Collier, J; Cook, A; Haas, J; Jiang, Y; Kolakowski, GR; McFaddin, EA; McKenney, ML; McNulty, OT; Metcalf, AT; Moreno, DA; Ramann, GA; Tang, TP; Ren, L; Walls, SM",10/15/2019,Array Biopharma Inc.,
296695,COC(C)(C)COc1cc(-c2ccc(N3CC4CC(C3)N4S(=O)(=O)CC(C)C)nc2)c2c(C#N)cnn2c1,5.383314479,US10112942,"Andrews, SW; Aronow, S; Blake, JF; Brandhuber, BJ; Cook, A; Haas, J; Jiang, Y; Kolakowski, GR; McFaddin, EA; McKenney, ML; McNulty, OT; Metcalf, AT; Moreno, DA; Tang, TP; Ren, L",10/30/2018,Array BioPharma Inc,
296723,COc1ccc(C(=O)N2C3CC2CN(c2ccc(-c4cc(OCC5(C)COC5)cn5ncc(C#N)c45)cn2)C3)cn1,5.385419133,US10112942,"Andrews, SW; Aronow, S; Blake, JF; Brandhuber, BJ; Cook, A; Haas, J; Jiang, Y; Kolakowski, GR; McFaddin, EA; McKenney, ML; McNulty, OT; Metcalf, AT; Moreno, DA; Tang, TP; Ren, L",10/30/2018,Array BioPharma Inc,
305184,CC(C)(O)COc1cc(-c2ccc(N3CCC(C)(N4CCCCC4)CC3)nc2)c2c(C#N)cnn2c1,5.388382889,US10441581,"Andrews, SW; Aronow, S; Blake, JF; Brandhuber, BJ; Collier, J; Cook, A; Haas, J; Jiang, Y; Kolakowski, GR; McFaddin, EA; McKenney, ML; McNulty, OT; Metcalf, AT; Moreno, DA; Ramann, GA; Tang, TP; Ren, L; Walls, SM",10/15/2019,Array Biopharma Inc.,
305587,CCOc1cc(-c2ccc(N3CCC(CN4CCN(C(=O)OC(C)(C)C)C(C)C4)(N=C(O)OC(C)C)CC3)nc2)c2c(C#N)cnn2c1,5.399353764,US10441581,"Andrews, SW; Aronow, S; Blake, JF; Brandhuber, BJ; Collier, J; Cook, A; Haas, J; Jiang, Y; Kolakowski, GR; McFaddin, EA; McKenney, ML; McNulty, OT; Metcalf, AT; Moreno, DA; Ramann, GA; Tang, TP; Ren, L; Walls, SM",10/15/2019,Array Biopharma Inc.,
304980,CCOc1cc(-c2ccc(N3CCCC(N=C(O)OC(C)(C)C)C3)nc2)c2c(C#N)cnn2c1,5.405496956,US10441581,"Andrews, SW; Aronow, S; Blake, JF; Brandhuber, BJ; Collier, J; Cook, A; Haas, J; Jiang, Y; Kolakowski, GR; McFaddin, EA; McKenney, ML; McNulty, OT; Metcalf, AT; Moreno, DA; Ramann, GA; Tang, TP; Ren, L; Walls, SM",10/15/2019,Array Biopharma Inc.,
305747,CC(C)(O)COc1cc(-c2ccc(N3CCC(O)(C(F)c4ccccc4)CC3)nc2)c2c(C#N)cnn2c1,5.420330706,US10441581,"Andrews, SW; Aronow, S; Blake, JF; Brandhuber, BJ; Collier, J; Cook, A; Haas, J; Jiang, Y; Kolakowski, GR; McFaddin, EA; McKenney, ML; McNulty, OT; Metcalf, AT; Moreno, DA; Ramann, GA; Tang, TP; Ren, L; Walls, SM",10/15/2019,Array Biopharma Inc.,
296692,CC(C)(C)CS(=O)(=O)N1C2CC1CN(c1ccc(-c3cc(OCC(C)(C)O)cn4ncc(C#N)c34)cn1)C2,5.424350385,US10112942,"Andrews, SW; Aronow, S; Blake, JF; Brandhuber, BJ; Cook, A; Haas, J; Jiang, Y; Kolakowski, GR; McFaddin, EA; McKenney, ML; McNulty, OT; Metcalf, AT; Moreno, DA; Tang, TP; Ren, L",10/30/2018,Array BioPharma Inc,
296518,COc1ccc(C(=O)N2C3CC2CN(c2ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn2)C3)cn1,5.427244535,US10112942,"Andrews, SW; Aronow, S; Blake, JF; Brandhuber, BJ; Cook, A; Haas, J; Jiang, Y; Kolakowski, GR; McFaddin, EA; McKenney, ML; McNulty, OT; Metcalf, AT; Moreno, DA; Tang, TP; Ren, L",10/30/2018,Array BioPharma Inc,
