Drug Name,SMILES,A427,A549,ABC-1,BEN,CAL-12T,COR-L105,COR-L23,Calu-3,Calu-6,ChaGo-K-1,EBC-1,EKVX,EMC-BAC-1,EMC-BAC-2,EPLC-272H,H3255,HARA,HCC-15,HCC-366,HCC-44,HCC-78,HCC-827,HOP-62,HOP-92,IA-LM,KNS-62,LC-1-sq,LC-2-ad,LCLC-103H,LCLC-97TM1,LK-2,LOU-NH91,LU-65,LU-99A,LXF-289,NCI-H1155,NCI-H1299,NCI-H1355,NCI-H1435,NCI-H1437,NCI-H1563,NCI-H1568,NCI-H1573,NCI-H1581,NCI-H1623,NCI-H1648,NCI-H1650,NCI-H1651,NCI-H1666,NCI-H1693,NCI-H1703,NCI-H1734,NCI-H1755,NCI-H1770,NCI-H1781,NCI-H1792,NCI-H1793,NCI-H1838,NCI-H1869,NCI-H1915,NCI-H1944,NCI-H1975,NCI-H1993,NCI-H2009,NCI-H2023,NCI-H2030,NCI-H2085,NCI-H2087,NCI-H2110,NCI-H2122,NCI-H2135,NCI-H2170,NCI-H2172,NCI-H2228,NCI-H226,NCI-H2291,NCI-H23,NCI-H2342,NCI-H2347,NCI-H2405,NCI-H2444,NCI-H292,NCI-H3122,NCI-H322M,NCI-H358,NCI-H441,NCI-H460,NCI-H520,NCI-H522,NCI-H596,NCI-H647,NCI-H650,NCI-H661,NCI-H720,NCI-H727,NCI-H810,NCI-H835,NCI-H838,PC-14,PC-3_[JPC-3],RERF-LC-KJ,RERF-LC-MS,RERF-LC-Sq1,SK-LU-1,SK-MES-1,SW1573,UMC-11,VMRC-LCD
(5Z)-7-Oxozeaenol,COc1cc(O)c2c(c1)C=CCC(O)C(O)C(=O)C=CCC(C)OC2=O,0.194074420078371,-0.9479910569113174,0.3482592228750299,2.1763174952024142,0.3690280296502409,0.1644633713405854,0.514004141108887,0.8760898748462042,-0.44999879937192,-0.0299435740238409,0.0216510476987,0.904833400760488,0.3878277710161861,0.3944954905318396,-1.7522935844455514,0.7512987975697409,0.9640447688410392,0.3971693651827296,0.4456782492481447,-0.1125836163433501,0.9550543152517892,0.6922950650436366,-0.1073907003756539,-0.9517828500789406,-0.0424108159151264,-0.2219285907077801,2.740811136641223,0.8002782990651091,0.5895472330916725,0.0120661883189561,0.7487778428292554,-0.0494275337303144,2.647603280853207,-0.549369290830025,0.7070198723877253,0.5700176672622612,0.0639604044589699,0.5150123440313161,1.790752500250622,0.2593626260411413,0.4331913355353091,0.688812114333278,0.8200809126458537,-0.4216879712438139,1.4608664469030683,0.8474001363486534,0.4158276689307612,0.5869745150544126,-0.1232841528641199,0.2905725395970666,-0.9751529172722088,,0.7898982257757886,1.007132359093257,0.5078864763253655,1.2126888122526047,3.4843130275542875,1.592823223335008,-1.280843001349409,0.2301802227096389,1.2978632975811115,-0.4343469742559045,0.7926329441416501,0.1656871061932096,1.2601198252690613,0.0221353619959561,0.3418651162428477,0.5119988482649236,1.6319457233830568,0.97582534563095,2.1998229216890133,0.8097192882238303,1.6911372495658064,1.1594786226969804,0.527222043383637,1.292437749084251,-0.6558530471574521,0.7416232936667745,-0.7800283612801402,-0.7678416963760175,0.7051643292137519,-0.8453622590876445,,3.2134520982128314,0.3761798633307741,0.6625469554731435,0.7219263662209844,0.7623082508014273,0.1915794668508917,-0.4109942349611136,,-0.0480049133738908,0.3429023805815833,0.7049589556463673,0.9677858755350008,0.2256223493191757,0.9723127235599972,0.3578465313501525,0.4089026492378486,0.4912254683719494,0.6840522988315528,0.1942531985346085,1.186759092674107,0.2048442780404039,0.7434266648247941,0.0254338197486694,1.5115796507784784,0.3441966391655536
123138,[CH2]C,-0.4055127066319658,-0.1735126708146519,-0.6699253410742927,,,0.3490463170071879,0.6053822986463161,0.8297005248674619,-0.3749401669121239,,0.4641753065649473,1.0461125259190094,,0.3696193593464471,-1.316834205205326,1.84125202629762,0.3929020655526606,-0.971414290574404,1.3232743955113235,0.0892344211310168,1.119680766093472,-0.5931096180734179,0.8834492113589449,1.3812930786561517,1.039461780954343,0.4383609096623118,0.5599938391362979,,1.080801296627779,0.0386749899893194,-1.3344482831963052,0.3979273976991235,-0.984447503607646,1.9258623630303464,-2.019268704692068,-0.8642073116810685,0.8311024195449698,1.6478818263761703,-1.3126035458712633,,-0.7530168962536775,0.3148336007544959,,0.1543294971729817,-0.4542440573226878,,2.0267392188550697,-1.209897738503718,1.7684890794292372,2.492440271226448,,,0.3941131370375077,,0.7611343525625945,-0.3012506994547069,0.1087954592814018,,-0.2715168965361814,0.9122692825804352,1.0162636592962713,-1.2595641180273178,0.5379525398025221,,0.8345224575349222,,0.2702363115263673,1.5770298315476583,,-0.7302391163688468,2.154369723930132,0.4186485151053657,,-0.1083581678063771,2.9415743143241406,,-0.8997955834312653,,,2.355605713202084,,,0.8499273138165463,0.9883522129665764,0.8838860639136101,1.555995583667071,,-0.7714183799802885,0.2267181002006862,0.5657170770676003,,0.2292034420595918,0.8942840412487405,0.3807748720738836,1.220775419251832,-0.2996262848498684,,,1.1421016348674025,,0.4430196153123621,,0.4853746584726973,2.2390008549038423,0.972956221745448,2.307769843298816,-0.2606861200031545,-0.2905362673785041
123829,CC(C[Se]CC(=O)NCCS(=O)(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,0.6474327105842963,-1.9294197014257897,0.9984712753729104,,,0.104475081934568,-0.0411448890405066,0.2659547376912645,-0.9837298758948642,,-0.5035837954811936,0.1859911682809987,,-1.445632637133949,-1.5481426920532382,-0.3574003014662574,-1.670698736517387,-0.1370583921950188,0.5448088775820454,-0.50572958890928,-0.960608578419266,0.9405974805087288,0.7490031240062117,0.6931661247245571,1.3985310423687032,0.0644524418293261,0.2165453983207674,,-0.4700886224603904,-1.0796303007079515,-0.4251103988619537,-0.4337601669695426,-0.9019875958035104,1.393950812964191,-1.5813880473404596,0.4090633645557994,0.722605304779986,0.2417367252032143,0.4187447416725423,,0.5802233454995435,1.2840805119042562,,0.8908197904899824,-0.1671310615002011,,1.9244983108251548,-0.9104068632043912,1.051833952344258,1.8534642673154191,,,1.1372269745075958,,-0.9163699985417444,-1.6244859837473284,1.007622038577196,,0.0841659132114068,-1.3491343278987535,-0.8423263293556572,-1.2024164431609203,-0.7230766754762822,,-1.15697074756869,,-1.3405688074018598,0.3588866081837865,,-1.83282182571218,2.0504027162939287,-0.9964593656386574,,-0.0021662330711012,1.961693970003988,,0.6853531840300313,,,2.625827550565829,,,-0.4460013248463814,-1.0778582134738142,-0.5128150024440555,1.406070644924854,,0.1975589159000787,1.0677498042636715,-1.3552787439914322,,-1.1777044563678338,1.3358371680709695,0.8472140026337469,1.2123227598599315,1.2117390449727907,,,-0.7096394809002811,,1.1118187653139249,,0.7029468408077835,0.3788690774822997,-0.6543933451934968,1.253195739972936,0.4300688052844687,1.3642921028899933
150412,CC(CO)(CO)NCc1ccc2c(ccc3c4ccccc4ccc23)c1,-0.6181597833445148,-1.2442421977983773,0.7761548601581754,,,-0.0260056533155012,-0.1054582412753808,0.0293857580858247,0.1770338062902132,,0.2467639998887039,0.2617595564197237,,-0.00263962525601,-0.8434752091047905,-0.8734426870208628,0.277935001503539,-0.3913848118194701,1.757763921341006,-1.126310593600816,0.0322132790609333,0.4396889287227964,1.6962798091032238,1.3388529730222696,0.7726597740948855,-1.153592797047727,0.034746843479276,,1.170717848530778,0.3695976907768679,0.4032690149932897,-0.1530784175077035,0.0775424533192806,1.4007937979967082,0.0104254692970938,0.0537704645819335,0.9709390555169995,0.029689762279851,-0.2928255547902801,,0.0741623492188522,0.8666054488904807,,0.6637715713512441,-0.0483184905354121,,2.2497930574027176,0.316754074635319,0.6670721634489518,2.66446557660843,,,0.0474169929500351,,-2.629478619696759,0.3297130841650137,0.5971251643127806,,-0.0914847395051396,-0.525943601706815,0.2292252676183168,0.3648370479734882,1.331787804368754,,-0.5058553048359556,,-0.0480430283607008,1.868367889584909,,-2.013103187335275,1.882965033271967,0.7959412732207539,,1.0773432608612197,1.8834621396218327,,0.0094211806095217,,,2.1005067571388314,,,-1.2506621932241588,-0.3753826981662481,0.7884623519205606,0.8268356291280222,,-0.0033414414663453,0.8512295151168324,0.2557805122625953,,-0.1961909383305451,1.3050750800283346,0.985255578008606,0.4219663465115603,-0.2081725011660401,,,0.9198989056931052,,-0.0735014072451652,,0.4105276576885063,2.577356048722997,1.4424379741380309,2.345531180396547,0.9632130736800828,1.0199379400520725
5-Fluorouracil,O=c1[nH]cc(F)c(=O)[nH]1,-0.1277457170302988,1.5599804328305389,-0.1456990018012864,-0.1476830101452725,-1.1566139513822866,-0.5905509469003258,-1.4584930088741257,1.7342897607868697,-0.5435530298700861,0.4627590407291549,0.6942460456034542,2.3344289972194887,-0.0096124088698083,-0.013481795763182,-1.0803004837905543,1.3756580125996682,-0.6349523570153438,0.9140162604594256,-0.6900639234479449,-1.3850471433306095,0.4623202743865907,1.1569140325219425,-0.9525460270121112,1.5820396176628286,-0.0763128397975573,-0.0768303113588622,0.9426400390598147,-0.9971692858575916,-0.4742075580199597,-1.506918449190403,-0.2514316848158199,0.9247508220595556,-0.5807357903378528,-0.2148293434736391,0.4210602506343424,0.2846833879708416,0.4613092465220162,1.1178401059037095,1.235245678403362,0.2264736020533869,1.288336936329684,1.3528979344223746,0.9230603338667708,0.816329715897202,1.3739764519638211,-0.37342758195007,-0.0327413613418641,0.9443700299820592,0.6851030069501375,1.821847365443536,1.0973542276506134,0.0206746442877614,1.4018833165557334,-0.2567520111663817,0.6930421442950001,0.830112772330617,1.931152459699009,0.5035859172206069,0.8590705921901302,-0.2377587485095095,-0.8973236257856079,-0.4987949337927451,1.2915454887007936,0.4322275076591931,0.3985350986736904,-0.1913214992566044,-0.7853842834006539,-0.1149327576284819,-0.5959769015526495,0.4477970752917434,-0.6342183459918345,0.571707421629749,1.210066164670702,0.6271865377879839,-0.3447687591137154,2.043866359349185,0.0227447368379524,1.1797783936037376,0.7915276841336989,1.1203150347228843,1.6690963646182897,-1.4190187539232246,-1.0663026386070016,0.4894002778161873,-0.6295324110681203,1.4748424516610508,1.0547198150087524,-1.3483853466671514,0.98241592133391,-0.1602934317473184,-0.2881679528885185,0.3317345003861248,0.7135033509905224,1.1587344073462191,0.838018430723707,-1.4806692691367085,0.0097909699112162,-0.4167825900092425,-0.4429381175899238,-0.2710733452931538,1.0784148622616696,1.1120404606974486,0.5369163641356117,0.8268429164635097,0.3633495696088317,1.7584468744176254,0.1038411043846395,1.117122661963552
5-azacytidine,Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1,,-0.8218371648378547,,,,0.5640621963909915,0.4911834983857406,0.1794903168259212,-0.4271633162755359,,-0.2015036244124958,,,0.7452408244374765,0.7764638936019375,,-0.0089807443459387,-1.2168777643904776,,-0.8577173859441629,0.5774962731537142,0.4367325855715547,0.3150693254780644,1.323998414615226,1.577158819353116,-1.2873057071308225,0.6754765662877488,,0.882865256797184,-1.2587949900455315,0.9347254416354096,0.5723752218812193,0.7332616243821317,-0.0081683212529491,-0.4467353778150822,0.3763698994107093,0.3376969557386569,-0.1785516420795911,0.7194564310429279,,1.818560372421525,1.5131885297344465,1.4747112645515308,-0.8790647383273194,0.7866728890227387,-0.1215766974838769,2.3787250381938336,-0.4207349150977063,1.0203434063554675,1.9415953599288625,0.7258463473808727,,0.4196490804570091,,0.9408680956576608,-1.1005303477442436,1.8752337403407269,0.7033412775452237,0.2533584677834565,0.4132516516468456,-0.9261425507410168,-0.4543581670119173,0.6652265232663036,0.111002432011767,-0.4654034806864672,,0.475907521513184,-0.126563639553153,,-1.5782263975395527,,-1.021958015692623,,0.9445408550493336,1.4988461962398305,,0.7549360173897391,0.9577992139608388,2.566862147941956,1.4865789807020358,,,1.3228373342338502,-0.6556103007100799,0.2108690201062004,1.427661643353536,,-0.9844776013715394,-0.6512743204642244,1.0611399543408468,,-0.9771918420532522,2.36003791830753,1.329730387382085,1.92269025149051,-0.647575499402877,1.1631370815007307,,-0.1488654177643877,1.0597989193532582,1.3529497489534523,,0.2970407482209823,1.8728213861990912,-0.8064072595705889,1.4926861361286372,0.2332361964649768,0.5046752674252629
50869,NNCCCCCCOc1ccccc1,-0.518955833853518,-0.828288357802372,1.0773803381145015,,,0.334399300682935,0.5193039092617089,0.7777592515961727,-0.953528733553372,,-0.1646055629342704,0.5238425935193021,,-1.354655379992222,-1.3612413132725785,0.7453112309410258,-0.929809336742455,-1.3025448361197576,1.7303720944316303,-0.5085207008531698,-0.1333964042891672,0.8886219843505231,1.8585087977589336,1.438695731727697,1.6757544516730976,0.3990725093308178,1.1069654920981309,,-0.1298799130464571,-0.1716226517733375,-1.7910658129105237,1.2340489799537515,-0.6841402112834534,0.560036312144996,0.9051716926578792,-1.0059353950836407,0.6838425727949109,1.0627284463292328,0.245623628055454,,0.9793713775380046,0.828215724858636,,-1.1206551689589448,0.5511493884196262,,2.143635132467485,-0.6785517448766397,0.7683324322915026,2.634556788952648,,,1.498452350617845,,0.2912257505592917,-0.6639955491251888,1.143912481758932,,0.6418771768220275,-0.1224456455012122,0.2731110394300093,0.2938563890690824,0.6673029553499481,,-0.1198045324763124,,0.1442304914258667,1.620824612789482,,-1.3126347325581205,2.265561861496168,0.1057573032222473,,1.2680669533355975,2.3221299346402327,,-1.245622010981405,,,2.7187390079538645,,,-0.5077362217255379,0.2915180463743902,-0.4729659222785954,1.4687310266418332,,0.0628793606149202,-0.3851124970454349,0.3937735055890999,,0.1342048692252281,1.6057108428666562,0.4636590021152181,1.276473116007752,-0.3648814584019876,,,0.7247383296066127,,0.3541975694574246,,0.4962789286109389,0.4792493294100945,1.6538640295338949,2.360259994933932,0.5907122458627602,0.8619385626531957
615590,CNC(=O)CSc1c(-c2cccs2)[nH]c2ccccc12,-0.1767921213142364,0.3293286575232408,-0.0475255760409075,,,-0.5913461648242252,0.7625846698422768,0.8451065325422671,0.7177024116277554,,-1.1139108211860425,1.1638671083720684,,-1.1635818896538317,-0.8021613623065523,1.5595380061406503,0.4711987102254568,-0.2548622834731988,1.504028485020588,-1.4676538692964154,-0.5630940569025166,-0.1991428763875661,0.6141778267459606,1.4482682256097288,0.9832052801611264,-0.3904176662264927,0.4452906782616471,,-0.4352168019304132,-0.9033494824811354,-0.0519343088000873,-1.282979186544125,1.1830335646207222,1.9925415291518545,0.4636716805755158,-1.3644941775474049,0.8634517330070872,2.006725420189995,-0.9804389093442222,,-0.953509569575806,1.8149938764219928,,-0.1595672986870622,0.1920603008829048,,2.266048284892248,-0.8753357119678524,1.2127691317895184,2.560009383823512,,,1.111585224498282,,0.8473115518768156,-1.0494984315625355,0.5588083095195154,,1.2782325620885884,1.2409454289380948,0.4647592605162609,0.2677318519108778,-0.1423501410176097,,1.0729948468649535,,0.456596766491409,1.7946757069335115,,-1.042951250100722,2.764859263508639,-0.1464627321010183,,1.5751211130107656,2.418579127877148,,-1.333497903527992,,,2.8771925855954747,,,0.388373725783227,1.2127129524918825,0.9346088769017832,2.516409369794536,,-0.9423546035871077,0.6477062656593244,-0.2188593190860066,,0.0336498858220488,0.6858961754678892,0.5186819256566232,0.4956785120444941,0.54869142865204,,,1.277018257826372,,0.623438642017018,,-0.5042260498418235,1.9183397304488337,1.0468618493940085,2.2202343418316937,-0.6041704471852126,-0.2669432541763465
630600,Brc1ccc(C=C(c2ccccc2)c2ccccc2)cc1,-0.2714621769868166,0.0821085913017607,0.5174568530228553,,,0.976646087499058,-0.4256446896580786,1.24454251455927,-0.9594881638130748,,-0.5104079076426261,1.3327917251452477,,-0.5761433149088835,0.676297374947429,0.3904314185926643,-1.3340389665165748,-0.2801526986431832,1.6633292149961751,1.0111361469927933,0.0888145318890353,-0.1464789129046217,0.7608413973180235,1.6729952952704938,1.0300896010204932,0.5219142529043994,0.5582668834230624,,0.5456344570110663,0.4200433086183885,0.5752284094667065,0.011277885404644,0.2076902611769314,1.739232558334782,0.8044903148944135,-0.4113879860913879,0.1355310176508254,1.8112040246163552,0.4987634910672678,,0.9632766043567402,1.026300334065418,,0.7592670422837466,0.9595764851351616,,1.861942051687577,0.1024495059296517,2.0271758691239703,2.2784560914086325,,,1.4540313890753125,,1.1939072964916508,0.1651983964952515,1.2422193158787544,,1.5084636684575548,-0.2434292633190704,1.4690522332563918,0.3996618455860506,-0.2762476119317885,,0.7903585051196241,,-0.0146209644214099,1.2161577415488032,,-0.4175326936977187,1.9822154126409035,-0.1376953756768353,,1.212353149561464,2.4933106371110045,,-0.2848298530078627,,,1.7883243214471898,,,0.0044407768215403,0.7321414437467952,-0.2750078035011055,2.07243032588498,,-0.0479985763415095,1.0773543113207502,0.2576719789263594,,1.085980106470519,1.1928759647299096,-1.0176767010556282,1.1402854369369833,-0.5991090354235901,,,1.303217670886315,,1.101157052314085,,-0.6281266721544965,1.626986716082633,1.4503691323801249,1.896527957967073,0.6883931312200169,0.2870068513149984
667880,CC1CCc2c(sc(NC(=O)C=Cc3ccco3)c2C#N)C1,-0.6647987279385081,-0.152033516156683,-0.6755452029598752,,,0.4719654555078855,0.5546547324360239,0.4339172270823889,-0.6110094314479557,,0.5758779878629312,-0.8083781581081377,,-0.2424448239109163,-0.3301999909204478,0.5697828754246507,0.0766903292942483,0.3236893294947769,1.851659657151136,1.1328241131124466,-0.3179659527655844,0.2697428184022194,1.3286818859002998,0.9630593883292736,-0.4182244783628434,1.4452586478438263,2.2046019572414712,,0.1321237133761666,0.9387617102029416,-0.4338983077362773,2.151116380179592,0.2672985369629696,-0.3770956059539391,2.1801629416200967,-0.6351166707385384,1.079816274111118,0.1447757199588144,-0.23059684065549,,0.6568790704348463,0.423739064203839,,-0.2660900784693266,1.6276786076622458,,1.366364720107584,-0.8642792178389197,-0.9653253427750934,0.4792691310598079,,,1.1079396822407186,,-0.8714611198801814,-0.3344005216945346,0.7773785676895588,,-0.2196763697903002,1.7685186455340849,0.8807211778995322,-0.1186230261637074,-0.8639836439731758,,2.1015162317777505,,-0.0942103959003487,0.919095276436548,,-0.2219979269832988,2.708675068880301,0.8868709919236664,,0.1469369787319583,1.0426364290975796,,-1.7587026167077542,,,0.6185567458903118,,,0.9628953920227264,-0.116822979833847,0.1514526536204596,2.2812796518771417,,0.1524800123692149,1.0794991492653687,-0.1363921663133459,,-0.481270293937072,-0.5379292359258494,0.788706707933001,0.5970070923503865,-0.69599783452479,,,0.9022229668165264,,1.0915359377828118,,0.2301901383091245,1.950491614064073,0.8381525702049327,1.6297510440712566,-0.670515212809056,0.6040290515020112
