Coverage_pct,Mean_AUC_CLASS_LAG,Mean_AUC_CONS_STD,Mean_AUC_CONS_STD_PROB,N_valid_celllines
10,0.6077,0.5625,0.5369,44
20,0.5399,0.5631,0.5212,63
30,0.5194,0.5654,0.5312,73
40,0.543,0.5449,0.5247,87
50,0.521,0.5067,0.499,93
60,0.4915,0.4794,0.487,97
70,0.4916,0.5049,0.4983,100
80,0.5021,0.499,0.5051,100
90,0.5249,0.5287,0.5228,101
100,0.5588,0.5588,0.5588,104
