Metric,Value
Source script,gdsc_consensus_AD_z0.py
Source results,/home/medicina/GDSC_ANALYSIS/results/z0_weighted/gdsc_weighted_results_20260521_154749.csv
Z_THRESHOLD,0.0
AD method,CONS-STD-PROB (Sushko 2010)
Fingerprints,"AVALON, ECFP, MACCS"
Algorithms,"RF, LR, SVM, XGB"
Ensemble size,12 (3 FP x 4 algo)
sample_weight,balanced
Cell lines,108
Mean % sensitive,37.6
Consensus AUC (100%),0.559
Mean CONS-STD,0.1928
% CONS-STD < 0.10,10.7
% CONS-STD < 0.20,50.1
Best CLASS-LAG AUC,0.7692
Best CONS-STD AUC,0.559
Best CONS-STD-PROB AUC (CSP_cov001),0.6579
Baseline AUC (100%),0.559
Max AUC gain,0.0989
Mean AUC 1% — CLASS-LAG,0.7692
Mean AUC 1% — CONS-STD,0.4186
Mean AUC 1% — CONS-STD-PROB,0.6579
Mean AUC 2% — CLASS-LAG,0.7692
Mean AUC 2% — CONS-STD,0.4186
Mean AUC 2% — CONS-STD-PROB,0.6579
Mean AUC 3% — CLASS-LAG,0.629
Mean AUC 3% — CONS-STD,0.4462
Mean AUC 3% — CONS-STD-PROB,0.6455
Mean AUC 4% — CLASS-LAG,0.5892
Mean AUC 4% — CONS-STD,0.4484
Mean AUC 4% — CONS-STD-PROB,0.6218
Mean AUC 5% — CLASS-LAG,0.5485
Mean AUC 5% — CONS-STD,0.481
Mean AUC 5% — CONS-STD-PROB,0.5637
Mean AUC 6% — CLASS-LAG,0.5537
Mean AUC 6% — CONS-STD,0.501
Mean AUC 6% — CONS-STD-PROB,0.5587
Mean AUC 7% — CLASS-LAG,0.5476
Mean AUC 7% — CONS-STD,0.527
Mean AUC 7% — CONS-STD-PROB,0.5622
Mean AUC 8% — CLASS-LAG,0.5331
Mean AUC 8% — CONS-STD,0.5166
Mean AUC 8% — CONS-STD-PROB,0.5492
Mean AUC 9% — CLASS-LAG,0.548
Mean AUC 9% — CONS-STD,0.5151
Mean AUC 9% — CONS-STD-PROB,0.5362
Mean AUC 10% — CLASS-LAG,0.5618
Mean AUC 10% — CONS-STD,0.5231
Mean AUC 10% — CONS-STD-PROB,0.5358
Mean AUC 20% — CLASS-LAG,0.5383
Mean AUC 20% — CONS-STD,0.5274
Mean AUC 20% — CONS-STD-PROB,0.5369
Mean AUC 30% — CLASS-LAG,0.5353
Mean AUC 30% — CONS-STD,0.5249
Mean AUC 30% — CONS-STD-PROB,0.5351
Mean AUC 40% — CLASS-LAG,0.545
Mean AUC 40% — CONS-STD,0.5288
Mean AUC 40% — CONS-STD-PROB,0.5304
Mean AUC 50% — CLASS-LAG,0.5541
Mean AUC 50% — CONS-STD,0.5523
Mean AUC 50% — CONS-STD-PROB,0.5502
Mean AUC 60% — CLASS-LAG,0.5569
Mean AUC 60% — CONS-STD,0.5464
Mean AUC 60% — CONS-STD-PROB,0.5495
Mean AUC 70% — CLASS-LAG,0.553
Mean AUC 70% — CONS-STD,0.5492
Mean AUC 70% — CONS-STD-PROB,0.5519
Mean AUC 80% — CLASS-LAG,0.5553
Mean AUC 80% — CONS-STD,0.5503
Mean AUC 80% — CONS-STD-PROB,0.5552
Mean AUC 90% — CLASS-LAG,0.5568
Mean AUC 90% — CONS-STD,0.5569
Mean AUC 90% — CONS-STD-PROB,0.556
Mean AUC 100% — CLASS-LAG,0.559
Mean AUC 100% — CONS-STD,0.559
Mean AUC 100% — CONS-STD-PROB,0.559
