Cell_Line,N_train,N_test,Pct_sensitive,Overall_AUC,Mean_CLASS_LAG,Median_CLASS_LAG,Pct_confident_20pct,Pct_confident_30pct,AUC_cov010,AUC_cov020,AUC_cov030,AUC_cov040,AUC_cov050,AUC_cov060,AUC_cov070,AUC_cov080,AUC_cov090,AUC_cov100
A427,309,78,38.24,0.5302,0.3381,0.355,12.82,33.33,0.7143,0.7364,0.7762,0.6111,0.5869,0.563,0.5543,0.5679,0.5504,0.5302
A549,321,81,28.86,0.5018,0.2602,0.26,27.16,61.73,0.4722,0.4917,0.5972,0.4522,0.444,0.4449,0.4757,0.4326,0.4392,0.5018
ABC-1,308,78,21.76,0.4446,0.2485,0.235,35.9,69.23,0.9,0.3846,0.6296,0.5314,0.6017,0.5667,0.5348,0.491,0.4946,0.4446
BEN,275,69,12.79,0.463,0.1446,0.14,78.26,94.2,0.7,0.2917,0.3148,0.5,0.4684,0.3773,0.3159,0.2717,0.3393,0.463
CAL-12T,279,70,34.1,0.5848,0.3096,0.305,10.0,48.57,1.0,0.8485,0.7,0.7219,0.7102,0.7333,0.6864,0.7161,0.6516,0.5848
COR-L105,317,80,25.94,0.6658,0.209,0.21,46.25,85.0,,0.9643,0.937,0.7604,0.69,0.6562,0.6082,0.6665,0.6281,0.6658
COR-L23,321,81,24.13,0.5758,0.2247,0.22,44.44,72.84,0.5,0.4808,0.2976,0.3571,0.458,0.5513,0.6213,0.5893,0.5712,0.5758
Calu-3,321,81,10.7,0.7873,0.109,0.09,88.89,93.83,,,0.9792,0.871,0.7632,0.6304,0.6392,0.6977,0.7422,0.7873
Calu-6,339,85,18.16,0.5346,0.1712,0.16,65.88,94.12,0.3571,0.4405,0.4375,0.4655,0.5496,0.6134,0.6236,0.6101,0.522,0.5346
ChaGo-K-1,275,69,11.92,0.6926,0.103,0.08,89.86,98.55,0.0,0.4167,0.2632,0.1923,0.1515,0.125,0.1064,0.5144,0.6374,0.6926
EBC-1,318,80,22.61,0.4986,0.2086,0.205,45.0,83.75,0.4167,0.4688,0.4053,0.48,0.5376,0.5903,0.542,0.51,0.5212,0.4986
EKVX,334,84,6.7,0.7904,0.0718,0.04,91.67,98.81,,,0.6,0.4545,0.6375,0.5306,0.4561,0.3939,0.5708,0.7904
EMC-BAC-1,253,64,28.08,0.5019,0.2994,0.3,26.56,46.88,0.4167,0.1833,0.5119,0.4624,0.4401,0.4793,0.5063,0.5038,0.5193,0.5019
EMC-BAC-2,300,75,34.67,0.6068,0.3113,0.3,9.33,49.33,0.75,0.6023,0.6384,0.5341,0.5304,0.5733,0.6889,0.641,0.5971,0.6068
EPLC-272H,322,81,43.67,0.5281,0.3653,0.38,4.94,22.22,0.8,0.6806,0.6006,0.6,0.5933,0.5682,0.5322,0.5338,0.5305,0.5281
H3255,307,77,11.2,0.5597,0.0843,0.07,98.7,98.7,0.8571,0.6282,0.4048,0.3036,0.3786,0.4095,0.5304,0.4545,0.3968,0.5597
HARA,321,81,31.34,0.5958,0.3068,0.31,14.81,40.74,0.75,0.4881,0.631,0.6109,0.6323,0.5412,0.5838,0.5547,0.5561,0.5958
