Cell_Line,N_train,N_test,Pct_sensitive,Overall_AUC,Mean_CLASS_LAG,Median_CLASS_LAG,Pct_confident_20pct,Pct_confident_30pct,AUC_cov010,AUC_cov020,AUC_cov030,AUC_cov040,AUC_cov050,AUC_cov060,AUC_cov070,AUC_cov080,AUC_cov090,AUC_cov100
HCC-15,322,81,11.91,0.7423,0.1295,0.11,79.01,92.59,,,0.7917,0.7823,0.75,0.6268,0.534,0.675,0.6654,0.7423
HCC-366,204,52,9.38,0.6413,0.074,0.06,96.15,98.08,,0.7,0.4667,0.6447,0.6884,0.5517,0.4706,0.5625,0.7214,0.6413
HCC-44,314,79,41.48,0.5891,0.3585,0.38,6.33,25.32,0.4333,0.5781,0.5521,0.5941,0.6586,0.6509,0.6198,0.6052,0.5859,0.5891
HCC-78,320,80,35.5,0.5745,0.3065,0.31,15.0,46.25,0.3333,0.4375,0.3632,0.5,0.5774,0.4901,0.5804,0.5698,0.5834,0.5745
HCC-827,316,80,14.39,0.7555,0.1509,0.125,76.25,90.0,,1.0,1.0,0.9667,0.8829,0.8438,0.8854,0.779,0.7637,0.7555
HOP-62,339,85,27.12,0.5776,0.2526,0.27,27.06,65.88,,0.8167,0.7273,0.7596,0.6591,0.7545,0.7454,0.6492,0.6014,0.5776
HOP-92,284,71,12.68,0.5585,0.1561,0.12,73.24,91.55,,0.8929,0.825,0.7115,0.5606,0.5897,0.6761,0.6529,0.6283,0.5585
IA-LM,334,84,9.81,0.4375,0.0973,0.08,90.48,98.81,0.6875,0.3438,0.22,0.5703,0.7685,0.6705,0.5673,0.5542,0.489,0.4375
KNS-62,246,62,17.21,0.2584,0.1826,0.17,62.9,85.48,0.6,0.3833,0.2396,0.465,0.44,0.3438,0.3842,0.3306,0.2901,0.2584
LC-1-sq,287,72,9.75,0.6772,0.1038,0.08,91.67,94.44,0.4286,0.2143,0.1429,0.5278,0.4559,0.6437,0.5479,0.5736,0.6453,0.6772
LC-2-ad,294,74,43.48,0.6362,0.383,0.39,2.7,10.81,0.375,0.5341,0.6116,0.6759,0.6242,0.6387,0.5992,0.5981,0.6157,0.6362
LCLC-103H,316,80,16.41,0.5514,0.1539,0.145,77.5,95.0,0.2083,0.2051,0.3375,0.625,0.5502,0.5026,0.4697,0.4423,0.3833,0.5514
LCLC-97TM1,321,81,41.54,0.5345,0.3843,0.41,9.88,13.58,0.6071,0.7167,0.6944,0.6462,0.5859,0.5877,0.5324,0.5164,0.5212,0.5345
LK-2,320,80,28.5,0.5032,0.2781,0.28,26.25,52.5,0.8333,0.5417,0.6513,0.5443,0.6339,0.5987,0.6404,0.5778,0.5065,0.5032
LOU-NH91,321,81,14.93,0.6865,0.1447,0.13,81.48,92.59,0.0625,0.4881,0.3258,0.3922,0.4472,0.4709,0.5523,0.6322,0.6822,0.6865
LU-65,342,86,8.88,0.7249,0.1214,0.11,77.91,98.84,,,,0.8824,0.7143,0.5882,0.5,0.4412,0.6776,0.7249
LU-99A,316,79,18.48,0.5386,0.1506,0.13,79.75,94.94,0.0714,0.5513,0.6263,0.6932,0.605,0.4742,0.5374,0.4952,0.5037,0.5386
LXF-289,342,86,36.21,0.7047,0.3614,0.37,4.65,23.26,0.3125,0.7692,0.5875,0.5694,0.6573,0.6586,0.6537,0.699,0.7175,0.7047
NCI-H1155,341,86,27.4,0.5148,0.2627,0.255,26.74,65.12,0.25,0.0893,0.4549,0.4792,0.4692,0.5294,0.4632,0.5425,0.5057,0.5148
NCI-H1299,324,82,14.53,0.3995,0.1363,0.12,78.05,97.56,0.8929,0.6635,0.6096,0.6134,0.5129,0.3975,0.4429,0.465,0.403,0.3995
NCI-H1355,342,86,14.72,0.6776,0.156,0.14,75.58,91.86,0.9444,0.4222,0.2754,0.371,0.2949,0.3787,0.3179,0.2781,0.6162,0.6776
NCI-H1435,316,80,8.59,0.6597,0.0896,0.07,88.75,95.0,,0.7333,0.6705,0.4917,0.536,0.4407,0.5337,0.5814,0.6035,0.6597
NCI-H1437,276,70,27.17,0.679,0.2764,0.29,20.0,57.14,0.8333,0.6458,0.5882,0.6136,0.625,0.6313,0.656,0.668,0.6444,0.679
NCI-H1563,321,81,14.93,0.4768,0.1359,0.11,75.31,97.53,0.4643,0.2167,0.3485,0.2556,0.4889,0.568,0.4771,0.5357,0.4688,0.4768
NCI-H1568,322,81,13.9,0.5447,0.1489,0.13,81.48,91.36,0.5714,0.4423,0.375,0.2679,0.4139,0.3367,0.4957,0.5577,0.4833,0.5447
NCI-H1573,266,67,7.21,0.3566,0.0688,0.05,98.51,100.0,0.4,0.4091,0.2963,0.2222,0.172,0.45,0.3857,0.3306,0.3955,0.3566
NCI-H1581,338,85,29.31,0.5379,0.3127,0.3,9.41,43.53,0.5278,0.4917,0.5694,0.4956,0.543,0.5778,0.5506,0.5354,0.5179,0.5379
NCI-H1623,322,81,15.14,0.7207,0.1491,0.13,81.48,91.36,,,0.8043,0.6833,0.675,0.6922,0.5829,0.5691,0.6079,0.7207
NCI-H1648,292,73,33.97,0.6306,0.3205,0.32,17.81,39.73,,0.6731,0.7083,0.6424,0.5571,0.5226,0.5976,0.6325,0.6194,0.6306
NCI-H1650,334,84,7.66,0.75,0.0907,0.08,91.67,96.43,,,,0.8485,0.6829,0.56,0.7368,0.7436,0.8345,0.75
NCI-H1651,321,81,18.66,0.5015,0.1614,0.15,62.96,92.59,0.3571,0.3571,0.3929,0.5123,0.5568,0.5167,0.4306,0.5621,0.5291,0.5015
NCI-H1666,337,85,9.0,0.7381,0.0894,0.07,94.12,98.82,,,,0.7344,0.5732,0.4796,0.4052,0.3561,0.6972,0.7381
NCI-H1693,281,71,9.09,0.6783,0.0787,0.05,92.96,95.77,0.5,0.25,0.1667,0.4722,0.5455,0.45,0.383,0.4764,0.6642,0.6783
NCI-H1703,266,67,32.13,0.53,0.2978,0.31,16.42,46.27,,0.7121,0.7296,0.7118,0.5711,0.6372,0.5427,0.5625,0.5219,0.53
NCI-H1734,260,66,25.46,0.6209,0.2326,0.205,43.94,71.21,0.6,0.6667,0.7067,0.6679,0.61,0.5663,0.5871,0.5942,0.5859,0.6209
NCI-H1755,321,81,25.62,0.6192,0.2442,0.25,34.57,65.43,0.3929,0.369,0.5789,0.5575,0.4223,0.4692,0.535,0.5702,0.647,0.6192
NCI-H1770,298,75,19.84,0.5595,0.2088,0.19,50.67,81.33,,1.0,0.8816,0.6731,0.5147,0.6466,0.5875,0.5708,0.6295,0.5595
NCI-H1781,322,81,15.38,0.7232,0.164,0.14,72.84,92.59,0.9375,0.4688,0.6196,0.4919,0.5921,0.5972,0.5071,0.4406,0.5896,0.7232
NCI-H1792,320,81,30.42,0.5361,0.2822,0.28,14.81,55.56,0.8571,0.7083,0.74,0.6423,0.559,0.5394,0.5972,0.5833,0.6137,0.5361
NCI-H1793,316,80,4.55,0.8797,0.0452,0.04,100.0,100.0,,,,,,,,,0.9789,0.8797
NCI-H1869,334,84,10.29,0.6696,0.1081,0.08,90.48,95.24,0.5625,0.45,0.2812,0.2109,0.3632,0.2951,0.4341,0.373,0.4437,0.6696
NCI-H1915,322,81,13.4,0.3695,0.1433,0.14,71.6,95.06,,0.9167,0.7939,0.6071,0.5341,0.4986,0.4691,0.4009,0.35,0.3695
NCI-H1944,322,81,31.27,0.5322,0.2747,0.28,20.99,61.73,0.1429,0.3452,0.485,0.5675,0.6236,0.5653,0.5427,0.5272,0.5458,0.5322
NCI-H1975,342,86,26.17,0.5572,0.2512,0.26,26.74,69.77,0.5278,0.4692,0.4042,0.3827,0.5106,0.5063,0.5068,0.5124,0.5672,0.5572
NCI-H1993,320,81,12.22,0.5065,0.1221,0.1,87.65,96.3,0.75,0.7596,0.545,0.3893,0.3028,0.4609,0.3871,0.3337,0.4436,0.5065
NCI-H2009,265,67,15.96,0.461,0.1739,0.14,67.16,79.1,1.0,0.5417,0.3421,0.5139,0.7788,0.6597,0.5556,0.5205,0.449,0.461
NCI-H2023,315,79,14.21,0.596,0.1494,0.12,77.22,92.41,,,0.9773,0.8103,0.7014,0.6512,0.625,0.5965,0.5231,0.596
NCI-H2030,273,69,26.61,0.626,0.2372,0.23,46.38,69.57,,0.875,0.6667,0.7159,0.7372,0.7153,0.625,0.6336,0.5697,0.626
NCI-H2085,299,75,16.84,0.3999,0.1659,0.15,72.0,90.67,0.5,0.3846,0.4417,0.4471,0.5922,0.5456,0.6082,0.5223,0.449,0.3999
NCI-H2087,320,81,15.21,0.4585,0.1452,0.14,71.6,97.53,0.75,0.4405,0.2803,0.2056,0.4639,0.4884,0.5574,0.59,0.5167,0.4585
NCI-H2110,278,70,27.3,0.6922,0.2299,0.22,37.14,75.71,,0.6875,0.4342,0.6783,0.52,0.6734,0.6836,0.7459,0.6336,0.6922
NCI-H2122,320,81,39.15,0.637,0.3536,0.37,7.41,25.93,0.775,0.6364,0.6146,0.5496,0.5086,0.5682,0.5878,0.6395,0.6457,0.637
NCI-H2135,326,82,9.8,0.4382,0.1027,0.095,93.9,98.78,0.875,0.7788,0.625,0.4571,0.3556,0.4053,0.5612,0.4825,0.4231,0.4382
NCI-H2170,316,80,19.7,0.4542,0.1623,0.15,68.75,92.5,0.8333,0.6458,0.6008,0.4609,0.5219,0.4606,0.5555,0.5356,0.5236,0.4542
NCI-H2172,273,69,5.26,0.4423,0.0581,0.05,98.55,98.55,,,0.875,0.7981,0.7135,0.5855,0.4964,0.5529,0.4873,0.4423
NCI-H2228,315,79,12.18,0.7083,0.1373,0.12,84.81,92.41,0.8571,0.4667,0.3043,0.5333,0.4211,0.3478,0.2963,0.4754,0.6448,0.7083
NCI-H226,342,86,7.94,0.596,0.1022,0.08,90.7,96.51,,,,,0.9643,0.8673,0.7328,0.6439,0.6605,0.596
NCI-H2291,278,70,6.61,0.635,0.047,0.04,98.57,100.0,,0.6538,0.45,0.7,0.6452,0.5263,0.5364,0.6006,0.5255,0.635
NCI-H23,339,85,20.52,0.6766,0.1935,0.18,54.12,84.71,0.8125,0.65,0.4062,0.5054,0.6622,0.6453,0.63,0.5917,0.6315,0.6766
NCI-H2342,264,67,15.71,0.5591,0.1578,0.14,79.1,89.55,,0.7917,0.6019,0.5435,0.619,0.584,0.5625,0.5407,0.5216,0.5591
NCI-H2347,271,68,11.21,0.4647,0.0922,0.07,88.24,98.53,,0.7879,0.5093,0.4792,0.5103,0.5798,0.5375,0.5266,0.5183,0.4647
NCI-H2405,318,80,8.54,0.5467,0.1101,0.1,88.75,97.5,,,,0.8417,0.6842,0.7528,0.6442,0.5583,0.4926,0.5467
NCI-H2444,274,69,2.33,0.0441,0.0357,0.03,100.0,100.0,0.5,0.2308,0.15,0.1111,0.0882,0.0732,0.0625,0.0545,0.0484,0.0441
NCI-H292,278,70,53.45,0.52,0.4033,0.41,2.86,8.57,0.6,0.5222,0.4712,0.4818,0.4643,0.4765,0.4915,0.4888,0.5061,0.52
NCI-H3122,312,78,21.79,0.4869,0.2015,0.195,50.0,75.64,0.1429,0.6923,0.5438,0.6086,0.5343,0.5446,0.5888,0.4954,0.503,0.4869
NCI-H322M,339,85,10.38,0.7083,0.1154,0.1,89.41,94.12,,,,,0.9643,0.89,0.7759,0.7615,0.7586,0.7083
NCI-H358,317,80,22.92,0.6359,0.2318,0.22,37.5,76.25,,0.8077,0.6375,0.7143,0.7097,0.6353,0.6272,0.6149,0.631,0.6359
NCI-H441,321,81,3.98,0.438,0.0427,0.03,100.0,100.0,,0.6875,0.5,0.5645,0.4487,0.3723,0.3182,0.2778,0.4881,0.438
NCI-H460,274,69,34.4,0.6017,0.2893,0.3,23.19,44.93,0.25,0.6,0.5722,0.6818,0.5453,0.4841,0.6184,0.6556,0.6276,0.6017
NCI-H520,317,80,23.17,0.7395,0.2545,0.24,37.5,65.0,,0.9333,0.6522,0.7417,0.7569,0.6193,0.7259,0.6708,0.6677,0.7395
NCI-H522,312,78,17.18,0.4919,0.1879,0.17,62.82,87.18,0.5833,0.25,0.3651,0.4554,0.4941,0.4024,0.5164,0.5114,0.5484,0.4919
NCI-H596,318,80,6.78,0.3038,0.0799,0.06,93.75,100.0,,,,0.7419,0.6154,0.5106,0.4364,0.381,0.338,0.3038
NCI-H647,272,69,37.83,0.5273,0.3433,0.37,10.14,27.54,0.2917,0.3667,0.6136,0.5872,0.5383,0.5544,0.5646,0.5422,0.5289,0.5273
NCI-H650,322,81,12.16,0.5514,0.1454,0.12,77.78,91.36,0.25,0.125,0.4783,0.5722,0.4561,0.5028,0.5481,0.6232,0.5476,0.5514
NCI-H661,318,80,15.58,0.5723,0.153,0.14,76.25,92.5,,0.8333,0.8175,0.7009,0.5451,0.7016,0.6371,0.5843,0.5507,0.5723
NCI-H720,337,85,16.11,0.3937,0.1518,0.14,74.12,92.94,0.3571,0.1667,0.4432,0.325,0.6071,0.5675,0.529,0.5112,0.4415,0.3937
NCI-H727,317,80,10.83,0.6408,0.1233,0.115,86.25,98.75,,,0.8523,0.6417,0.5066,0.5704,0.4843,0.4208,0.5147,0.6408
NCI-H810,320,81,32.42,0.5321,0.3363,0.33,9.88,35.8,,0.75,0.619,0.5926,0.6871,0.6351,0.627,0.5876,0.5551,0.5321
NCI-H835,175,44,20.55,0.7103,0.1975,0.17,56.82,79.55,,,,,0.9474,0.8043,0.7577,0.8058,0.805,0.7103
NCI-H838,274,69,23.62,0.5932,0.2461,0.24,34.78,69.57,,0.6154,0.6974,0.6867,0.7233,0.7265,0.6088,0.5219,0.4566,0.5932
PC-14,323,81,27.23,0.7164,0.2647,0.25,24.69,65.43,,0.8125,0.7045,0.6821,0.6875,0.6577,0.625,0.6427,0.6213,0.7164
PC-3_[JPC-3],266,67,11.41,0.5179,0.111,0.1,88.06,97.01,,0.6458,0.4079,0.31,0.2422,0.1987,0.1722,0.149,0.4109,0.5179
RERF-LC-KJ,322,81,14.64,0.4737,0.1294,0.11,81.48,95.06,0.6667,0.2857,0.381,0.4321,0.6458,0.61,0.55,0.5081,0.4404,0.4737
RERF-LC-MS,277,70,25.65,0.471,0.2496,0.24,31.43,67.14,0.85,0.4848,0.2963,0.5043,0.5663,0.5707,0.5231,0.499,0.482,0.471
RERF-LC-Sq1,320,80,14.25,0.5488,0.1403,0.12,82.5,93.75,,0.7667,0.7312,0.6185,0.6082,0.6026,0.5012,0.4283,0.3739,0.5488
SK-LU-1,318,80,15.33,0.5725,0.1425,0.145,80.0,97.5,0.0714,0.5833,0.3625,0.2589,0.2014,0.5035,0.5473,0.5269,0.5528,0.5725
SK-MES-1,322,81,23.57,0.5424,0.2226,0.21,40.74,79.01,0.75,0.6058,0.5833,0.45,0.4629,0.4583,0.4593,0.4694,0.5185,0.5424
SW1573,321,81,3.98,0.562,0.0502,0.04,97.53,98.77,0.5,0.3438,0.2292,0.1719,0.1375,0.1146,0.0982,0.5317,0.6262,0.562
UMC-11,316,80,25.51,0.6458,0.2565,0.26,32.5,65.0,,,0.8571,0.7889,0.7656,0.6987,0.7304,0.7337,0.7092,0.6458
VMRC-LCD,216,55,12.55,0.4854,0.1289,0.11,81.82,96.36,0.4,0.4444,0.4881,0.5069,0.3802,0.4536,0.3735,0.432,0.4535,0.4854
