Metric,Value
Source script,gdsc_consensus_AD_z1.py
Source results,FILES_TO_SHARE/results_gdsc_weighted_sw/gdsc_weighted_results_20260521_111123.csv
Z_THRESHOLD,-1.0
AD method,CONS-STD-PROB (Sushko 2010)
Fingerprints,"AVALON, ECFP, MACCS"
Algorithms,"RF, LR, SVM, XGB"
Ensemble size,12 (3 FP x 4 algo)
sample_weight,balanced
Cell lines,104
Mean % sensitive,8.3
Consensus AUC (100%),0.5588
Mean CONS-STD,0.0833
% CONS-STD < 0.10,73.8
% CONS-STD < 0.20,85.9
Best CLASS-LAG AUC,0.6077
Best CONS-STD AUC,0.5654
Best CONS-STD-PROB AUC (CSP_cov100),0.5588
Baseline AUC (100%),0.5588
Max AUC gain,0.0
Mean AUC 10% — CLASS-LAG,0.6077
Mean AUC 10% — CONS-STD,0.5625
Mean AUC 10% — CONS-STD-PROB,0.5369
Mean AUC 20% — CLASS-LAG,0.5399
Mean AUC 20% — CONS-STD,0.5631
Mean AUC 20% — CONS-STD-PROB,0.5212
Mean AUC 30% — CLASS-LAG,0.5194
Mean AUC 30% — CONS-STD,0.5654
Mean AUC 30% — CONS-STD-PROB,0.5312
Mean AUC 40% — CLASS-LAG,0.543
Mean AUC 40% — CONS-STD,0.5449
Mean AUC 40% — CONS-STD-PROB,0.5247
Mean AUC 50% — CLASS-LAG,0.521
Mean AUC 50% — CONS-STD,0.5067
Mean AUC 50% — CONS-STD-PROB,0.499
Mean AUC 60% — CLASS-LAG,0.4915
Mean AUC 60% — CONS-STD,0.4794
Mean AUC 60% — CONS-STD-PROB,0.487
Mean AUC 70% — CLASS-LAG,0.4916
Mean AUC 70% — CONS-STD,0.5049
Mean AUC 70% — CONS-STD-PROB,0.4983
Mean AUC 80% — CLASS-LAG,0.5021
Mean AUC 80% — CONS-STD,0.499
Mean AUC 80% — CONS-STD-PROB,0.5051
Mean AUC 90% — CLASS-LAG,0.5249
Mean AUC 90% — CONS-STD,0.5287
Mean AUC 90% — CONS-STD-PROB,0.5228
Mean AUC 100% — CLASS-LAG,0.5588
Mean AUC 100% — CONS-STD,0.5588
Mean AUC 100% — CONS-STD-PROB,0.5588
