Cell_Line,N_train,N_test,N_models,Pct_sensitive,Consensus_AUC,AUC_AVALON_RF,AUC_AVALON_LR,AUC_AVALON_SVM,AUC_AVALON_XGB,AUC_ECFP_RF,AUC_ECFP_LR,AUC_ECFP_SVM,AUC_ECFP_XGB,AUC_MACCS_RF,AUC_MACCS_LR,AUC_MACCS_SVM,AUC_MACCS_XGB,Mean_CLASS_LAG,Mean_CONS_STD,Mean_CONS_STD_PROB,Pct_AD_STD_lt010,Pct_AD_STD_lt020,CL_cov001,CL_cov002,CL_cov003,CL_cov004,CL_cov005,CL_cov006,CL_cov007,CL_cov008,CL_cov009,CL_cov010,CL_cov020,CL_cov030,CL_cov040,CL_cov050,CL_cov060,CL_cov070,CL_cov080,CL_cov090,CL_cov100,CS_cov001,CS_cov002,CS_cov003,CS_cov004,CS_cov005,CS_cov006,CS_cov007,CS_cov008,CS_cov009,CS_cov010,CS_cov020,CS_cov030,CS_cov040,CS_cov050,CS_cov060,CS_cov070,CS_cov080,CS_cov090,CS_cov100,CSP_cov001,CSP_cov002,CSP_cov003,CSP_cov004,CSP_cov005,CSP_cov006,CSP_cov007,CSP_cov008,CSP_cov009,CSP_cov010,CSP_cov020,CSP_cov030,CSP_cov040,CSP_cov050,CSP_cov060,CSP_cov070,CSP_cov080,CSP_cov090,CSP_cov100
EPLC-272H,322,81,12,68.24,0.6314,0.6279,0.5893,0.6114,0.5529,0.6893,0.5514,0.555,0.6664,0.6639,0.4943,0.6393,0.6807,0.2979,0.2066,0.1957,0.0,43.21,,,,,,,,,,1.0,0.8,0.627,0.5556,0.5364,0.4977,0.5183,0.6201,0.6522,0.6314,,,,,,,0.8,0.8333,0.8333,0.7143,0.6731,0.5526,0.5,0.5833,0.5796,0.5971,0.6418,0.6304,0.6314,,,,,,,,0.8333,0.8571,0.8571,0.8,0.627,0.5,0.4742,0.5449,0.5899,0.6201,0.6522,0.6314
H3255,307,77,12,23.96,0.5314,0.514,0.5405,0.5496,0.5149,0.5785,0.5818,0.6562,0.5835,0.5628,0.3694,0.5289,0.5091,0.2048,0.16,0.1003,32.47,64.94,0.0,0.0,0.0,0.5,0.5,0.6667,0.75,0.5,0.5,0.6,0.3175,0.2422,0.2677,0.3409,0.3429,0.3508,0.3512,0.4974,0.5314,0.0,0.0,0.0,0.5,0.5,0.6667,0.4444,0.5,0.5,0.375,0.25,0.1681,0.2677,0.2828,0.3333,0.3471,0.4443,0.4985,0.5314,0.0,0.0,0.0,0.5,0.5,0.6667,0.75,0.5,0.5,0.375,0.3175,0.2422,0.1685,0.2621,0.3959,0.3527,0.3512,0.4974,0.5314
HARA,321,81,12,58.71,0.6981,0.6247,0.6718,0.6678,0.6112,0.6112,0.6671,0.3268,0.6664,0.6247,0.5836,0.6813,0.6516,0.348,0.2142,0.249,0.0,44.44,,,,,,,1.0,0.8333,0.7143,0.8571,0.7308,0.7193,0.6978,0.6875,0.7137,0.7016,0.7284,0.7192,0.6981,,,0.0,0.0,0.3333,0.3333,0.3333,0.3333,0.4667,0.4444,0.7308,0.6825,0.65,0.7011,0.7386,0.7222,0.7024,0.716,0.6981,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9444,0.5952,0.65,0.6484,0.7032,0.7005,0.7206,0.7284,0.7192,0.6981
HCC-15,322,81,12,27.79,0.5614,0.6389,0.5833,0.5936,0.5526,0.5987,0.6118,0.6235,0.6023,0.5033,0.5022,0.5175,0.5037,0.2411,0.169,0.1215,11.11,67.9,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6667,0.5333,0.4444,0.2885,0.4841,0.4676,0.4788,0.4505,0.5032,0.5378,0.6035,0.5614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2143,0.2619,0.31,0.455,0.546,0.6061,0.5798,0.5789,0.5577,0.5614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.25,0.2143,0.2885,0.29,0.405,0.4758,0.5327,0.5427,0.5366,0.6026,0.5614
HCC-366,204,52,12,22.66,0.4896,0.4714,0.5191,0.5278,0.599,0.4618,0.5156,0.5122,0.5,0.4601,0.5347,0.5,0.5156,0.1548,0.1354,0.0539,55.77,73.08,,,,,,1.0,1.0,0.75,0.75,0.875,0.7,0.3818,0.4388,0.5033,0.372,0.4406,0.4828,0.4567,0.4896,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3929,0.25,0.3333,0.4444,0.372,0.4406,0.4306,0.4958,0.4896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.5,0.4333,0.45,0.3333,0.4097,0.372,0.4406,0.425,0.4567,0.4896
HCC-44,314,79,12,67.68,0.5323,0.5229,0.4729,0.574,0.5417,0.6042,0.7042,0.3771,0.5448,0.6297,0.3969,0.3198,0.5385,0.333,0.2212,0.2367,0.0,37.97,1.0,1.0,0.5,0.3333,0.3333,0.25,0.2,0.1667,0.1429,0.1429,0.0667,0.3636,0.7436,0.6494,0.688,0.6288,0.5852,0.5505,0.5323,,,,,,0.25,0.2,0.3333,0.4286,0.4286,0.2857,0.3409,0.4483,0.6537,0.5401,0.4781,0.5163,0.5626,0.5323,0.0,0.0,0.5,0.3333,0.3333,0.25,0.2,0.1667,0.1429,0.1429,0.5,0.3636,0.625,0.7204,0.6447,0.5899,0.5852,0.5505,0.5323
HCC-78,320,80,12,60.75,0.476,0.5994,0.5139,0.4023,0.5869,0.4861,0.4483,0.5355,0.5112,0.4787,0.3847,0.5179,0.4557,0.3741,0.2218,0.2915,0.0,32.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.4755,0.4802,0.5076,0.4574,0.4278,0.4667,0.4607,0.476,,,0.5,0.6667,0.6667,0.3333,0.2222,0.1667,0.2,0.2,0.5167,0.3906,0.4026,0.3874,0.4222,0.4231,0.4274,0.4548,0.476,,,,0.3333,0.3333,0.3333,0.3333,0.3333,0.25,0.25,0.2667,0.4,0.4802,0.5126,0.4839,0.4278,0.4646,0.4607,0.476
HCC-827,316,80,12,26.01,0.6262,0.6085,0.6661,0.6152,0.5545,0.6234,0.6223,0.6716,0.5968,0.665,0.4898,0.5494,0.6097,0.2474,0.1806,0.1286,11.25,62.5,,,,1.0,1.0,0.75,0.6,0.5,0.4286,0.4286,0.3929,0.4603,0.6,0.75,0.7458,0.6569,0.6055,0.6704,0.6262,,,,,,,,,0.4286,0.4286,0.2,0.4762,0.5446,0.6703,0.5641,0.6748,0.657,0.6246,0.6262,,,,,,,0.6,0.5,0.4286,0.4286,0.2,0.25,0.5852,0.6523,0.6782,0.665,0.6618,0.6471,0.6262
HOP-62,339,85,12,49.76,0.5769,0.5293,0.5753,0.4351,0.5106,0.5875,0.6254,0.3969,0.5758,0.5814,0.4933,0.5769,0.5713,0.3806,0.2255,0.3027,0.0,28.24,1.0,1.0,1.0,0.75,0.6667,0.625,0.625,0.6667,0.6875,0.7,0.6,0.6,0.619,0.5867,0.5745,0.5746,0.572,0.5772,0.5769,0.0,0.0,0.0,0.25,0.3333,0.4444,0.4444,0.3333,0.2667,0.2,0.2571,0.4083,0.4132,0.511,0.5423,0.5611,0.5694,0.5833,0.5769,,,1.0,0.75,0.6667,0.625,0.625,0.6667,0.6875,0.7,0.5857,0.6125,0.6023,0.5933,0.5714,0.5814,0.572,0.5772,0.5769
HOP-92,284,71,12,27.61,0.5514,0.5024,0.5067,0.6152,0.6048,0.5819,0.5257,0.44,0.5705,0.4676,0.5571,0.5019,0.4676,0.2525,0.1832,0.129,0.0,59.15,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4062,0.3571,0.4808,0.4375,0.4636,0.3899,0.4931,0.5514,,,0.0,0.0,0.25,0.3333,0.3333,0.2222,0.25,0.1875,0.3704,0.4274,0.4389,0.3909,0.3667,0.3823,0.4385,0.4969,0.5514,,,,,0.3333,0.1667,0.1667,0.125,0.2,0.2667,0.32,0.5446,0.5278,0.3992,0.3788,0.4079,0.4402,0.457,0.5514
