Cell_Line,N_train,N_test,N_models,Pct_sensitive,Consensus_AUC,AUC_AVALON_RF,AUC_AVALON_LR,AUC_AVALON_SVM,AUC_AVALON_XGB,AUC_ECFP_RF,AUC_ECFP_LR,AUC_ECFP_SVM,AUC_ECFP_XGB,AUC_MACCS_RF,AUC_MACCS_LR,AUC_MACCS_SVM,AUC_MACCS_XGB,Mean_CLASS_LAG,Mean_CONS_STD,Mean_CONS_STD_PROB,Pct_AD_STD_lt010,Pct_AD_STD_lt020,CL_cov001,CL_cov002,CL_cov003,CL_cov004,CL_cov005,CL_cov006,CL_cov007,CL_cov008,CL_cov009,CL_cov010,CL_cov020,CL_cov030,CL_cov040,CL_cov050,CL_cov060,CL_cov070,CL_cov080,CL_cov090,CL_cov100,CS_cov001,CS_cov002,CS_cov003,CS_cov004,CS_cov005,CS_cov006,CS_cov007,CS_cov008,CS_cov009,CS_cov010,CS_cov020,CS_cov030,CS_cov040,CS_cov050,CS_cov060,CS_cov070,CS_cov080,CS_cov090,CS_cov100,CSP_cov001,CSP_cov002,CSP_cov003,CSP_cov004,CSP_cov005,CSP_cov006,CSP_cov007,CSP_cov008,CSP_cov009,CSP_cov010,CSP_cov020,CSP_cov030,CSP_cov040,CSP_cov050,CSP_cov060,CSP_cov070,CSP_cov080,CSP_cov090,CSP_cov100
LXF-289,342,86,12,63.55,0.6252,0.5866,0.6179,0.535,0.5894,0.5434,0.7003,0.5992,0.4857,0.5485,0.605,0.484,0.5367,0.306,0.1985,0.1893,0.0,48.84,1.0,1.0,0.5,0.3333,0.25,0.2,0.1667,0.1667,0.5833,0.5,0.7013,0.4653,0.436,0.5443,0.5479,0.569,0.5648,0.6273,0.6252,,,,1.0,1.0,1.0,0.9167,0.9167,0.9333,0.9444,0.7013,0.5817,0.5906,0.5246,0.5462,0.5854,0.6,0.6458,0.6252,,,0.5,0.3333,0.25,0.2,0.1667,0.1667,0.1429,0.5714,0.7013,0.5556,0.496,0.541,0.5479,0.5402,0.5648,0.6273,0.6252
NCI-H1155,341,86,12,52.22,0.4321,0.5033,0.3633,0.4929,0.4566,0.5603,0.503,0.5161,0.4975,0.4572,0.4528,0.4817,0.389,0.3657,0.2224,0.2819,1.16,30.23,1.0,1.0,1.0,1.0,0.6667,0.5556,0.5,0.5,0.625,0.55,0.4625,0.4125,0.3947,0.3733,0.3794,0.4033,0.4343,0.4421,0.4321,,,1.0,0.75,0.8333,0.6667,0.5833,0.5833,0.5,0.45,0.5,0.4424,0.4704,0.4693,0.4554,0.4665,0.4578,0.4312,0.4321,1.0,1.0,1.0,0.75,0.6667,0.5556,0.5,0.5,0.5625,0.55,0.5062,0.4242,0.3767,0.3838,0.3909,0.4044,0.4291,0.4421,0.4321
NCI-H1299,324,82,12,30.05,0.4583,0.4233,0.3757,0.4597,0.455,0.4418,0.5033,0.5284,0.4802,0.4719,0.4735,0.4788,0.4504,0.2876,0.2008,0.1748,3.66,46.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5667,0.6467,0.5808,0.5325,0.3915,0.4291,0.4722,0.4752,0.4583,,,0.5,0.6667,0.75,0.75,0.6,0.3,0.25,0.2857,0.2333,0.4603,0.4917,0.5026,0.4688,0.4968,0.4641,0.4258,0.4583,,,0.0,0.5,0.5,0.5,0.5,0.4,0.4167,0.4286,0.5192,0.4603,0.4217,0.4897,0.4367,0.4305,0.503,0.4752,0.4583
NCI-H1355,342,86,12,27.8,0.7,0.6516,0.6449,0.3609,0.7,0.6397,0.6596,0.3173,0.5795,0.6397,0.6378,0.3103,0.5917,0.2864,0.2091,0.18,1.16,46.51,,,,,,1.0,1.0,1.0,0.8333,0.7143,0.3778,0.4952,0.5255,0.4857,0.5543,0.5866,0.612,0.6259,0.7,0.0,0.0,0.5,0.6667,0.75,0.8,0.8,0.8,0.8333,0.8571,0.6071,0.4571,0.5972,0.5621,0.5277,0.6524,0.6547,0.6885,0.7,,,,,,,,,,0.875,0.6154,0.4762,0.4655,0.5392,0.5521,0.6232,0.6109,0.5995,0.7
NCI-H1435,316,80,12,23.74,0.6771,0.6622,0.6443,0.7121,0.6734,0.6808,0.7217,0.7083,0.6756,0.6544,0.4926,0.5938,0.5848,0.2216,0.1771,0.1084,22.5,60.0,1.0,1.0,0.5,0.3333,0.3333,0.25,0.625,0.5,0.4167,0.4167,0.3846,0.4737,0.4551,0.5273,0.55,0.585,0.5741,0.5957,0.6771,,,1.0,1.0,1.0,0.6667,0.75,0.7,0.5833,0.5833,0.4375,0.4211,0.5257,0.5663,0.4872,0.5796,0.6107,0.6732,0.6771,,,0.5,0.6667,0.6667,0.5,0.4,0.3,0.5333,0.5333,0.5,0.4526,0.5257,0.5117,0.5368,0.5832,0.5755,0.5957,0.6771
NCI-H1437,276,70,12,52.6,0.5856,0.5803,0.5905,0.5807,0.5708,0.6011,0.6388,0.4939,0.6151,0.6208,0.475,0.5565,0.5291,0.3717,0.2184,0.2847,0.0,35.71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9167,0.9,0.7959,0.719,0.6522,0.6069,0.6,0.5923,0.5856,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.8365,0.8182,0.7517,0.6921,0.6378,0.6128,0.5939,0.5856,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9167,0.8269,0.7846,0.7039,0.6412,0.6173,0.6,0.5923,0.5856
NCI-H1563,321,81,12,31.09,0.5693,0.5497,0.5447,0.473,0.5701,0.6371,0.5177,0.5871,0.53,0.5331,0.5478,0.5786,0.5871,0.2891,0.1931,0.1675,0.0,54.32,,,,1.0,0.75,0.75,0.6,0.5,0.75,0.6429,0.4615,0.4737,0.4066,0.4653,0.4333,0.5889,0.6419,0.6136,0.5693,,,0.0,0.0,0.25,0.25,0.4,0.5,0.5,0.6111,0.5,0.5476,0.4341,0.5152,0.4955,0.5299,0.5213,0.5323,0.5693,0.0,0.0,0.5,0.6667,0.75,0.75,0.8,0.8,0.8333,0.7222,0.381,0.4825,0.485,0.4583,0.4928,0.5175,0.6111,0.6136,0.5693
NCI-H1568,322,81,12,25.81,0.4279,0.4471,0.4459,0.4213,0.4902,0.4525,0.4254,0.5057,0.35,0.5156,0.3779,0.4598,0.4689,0.2405,0.1805,0.1253,20.99,53.09,1.0,1.0,0.5,0.3333,0.6667,0.6667,0.7778,0.5833,0.6875,0.55,0.5571,0.375,0.3241,0.3939,0.5137,0.5059,0.4634,0.404,0.4279,,,,,,,,0.1667,0.3333,0.2857,0.3333,0.3095,0.338,0.4253,0.3514,0.397,0.4171,0.4212,0.4279,,,,0.3333,0.25,0.25,0.2,0.1667,0.3333,0.3889,0.4242,0.375,0.255,0.3818,0.4252,0.5044,0.4314,0.4386,0.4279
NCI-H1573,266,67,12,16.82,0.3561,0.2886,0.2985,0.4182,0.35,0.4167,0.4576,0.5121,0.4303,0.4258,0.4439,0.3197,0.4076,0.1597,0.1549,0.0649,40.3,68.66,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.625,0.7,0.7,0.1556,0.2444,0.2643,0.2933,0.3194,0.269,0.2272,0.3382,0.3561,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2444,0.2959,0.2643,0.1958,0.3125,0.269,0.3045,0.3364,0.3561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.25,0.25,0.125,0.3163,0.2643,0.1958,0.2311,0.269,0.3068,0.3382,0.3561
NCI-H1581,338,85,12,55.08,0.6773,0.6525,0.6355,0.6232,0.6605,0.6544,0.6159,0.619,0.602,0.6343,0.6488,0.6157,0.6288,0.3655,0.2112,0.274,0.0,41.18,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.8562,0.807,0.75,0.7692,0.7208,0.7108,0.6883,0.6773,,,,,0.0,0.375,0.375,0.5,0.6667,0.7222,0.7885,0.812,0.7549,0.6991,0.6516,0.6768,0.6966,0.6764,0.6773,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333,0.8312,0.814,0.7835,0.7569,0.7356,0.6979,0.6883,0.6773
NCI-H1623,322,81,12,29.78,0.5636,0.6503,0.6021,0.6392,0.5629,0.5811,0.5615,0.5727,0.5818,0.5636,0.5643,0.4692,0.5469,0.2719,0.1904,0.1421,2.47,59.26,,,,,,,,1.0,0.8571,0.9286,0.6346,0.6032,0.5783,0.5797,0.5833,0.5762,0.5814,0.5443,0.5636,,,,,,,0.8,0.8333,0.5833,0.6429,0.5577,0.4561,0.4769,0.4909,0.5294,0.4909,0.5167,0.5409,0.5636,,,,,,,,,0.5714,0.625,0.6667,0.6103,0.5093,0.4818,0.5061,0.537,0.5519,0.5443,0.5636
NCI-H1648,292,73,12,57.53,0.6285,0.6544,0.6121,0.6603,0.6622,0.6826,0.5219,0.6591,0.5854,0.6258,0.5533,0.6105,0.5337,0.3527,0.2229,0.2662,0.0,35.62,,,,,,1.0,1.0,1.0,1.0,1.0,0.76,0.6562,0.6023,0.6367,0.6518,0.6682,0.6607,0.6598,0.6285,,,,,,,,,0.6667,0.5714,0.6111,0.7232,0.6746,0.66,0.6253,0.5946,0.6115,0.6234,0.6285,,,,,,,1.0,1.0,1.0,1.0,0.76,0.6458,0.68,0.6603,0.6095,0.6547,0.6619,0.6598,0.6285
NCI-H1650,334,84,12,16.03,0.6173,0.6199,0.5673,0.4255,0.6449,0.6163,0.4745,0.4888,0.5122,0.5439,0.5857,0.4469,0.6429,0.1513,0.1388,0.0544,53.57,76.19,,,,,,,,,,1.0,0.5,0.5417,0.5699,0.6991,0.6136,0.6422,0.5443,0.6159,0.6173,,,,,,,,,,,0.9375,0.6232,0.6667,0.7306,0.6104,0.576,0.5914,0.6198,0.6173,,,,,,,,,,,0.4375,0.5208,0.6667,0.7037,0.6104,0.5784,0.5983,0.572,0.6173
NCI-H1651,321,81,12,35.07,0.5295,0.5497,0.5117,0.5933,0.4931,0.5679,0.5213,0.5535,0.5165,0.4949,0.6159,0.6097,0.5123,0.2963,0.1954,0.1828,3.7,55.56,1.0,1.0,1.0,0.5,0.3333,0.3333,0.25,0.2,0.1667,0.1429,0.5,0.4298,0.6074,0.6058,0.6011,0.5905,0.5539,0.5289,0.5295,1.0,1.0,1.0,0.5,0.3333,0.3333,0.25,0.2,0.1667,0.1429,0.3571,0.51,0.56,0.6374,0.6118,0.5882,0.5606,0.5213,0.5295,1.0,1.0,1.0,0.5,0.3333,0.3333,0.25,0.2,0.1667,0.1429,0.0667,0.4912,0.5139,0.5632,0.638,0.6204,0.5539,0.5289,0.5295
NCI-H1666,337,85,12,22.27,0.7059,0.6535,0.6142,0.6358,0.6739,0.6626,0.6125,0.6626,0.6704,0.596,0.5614,0.6211,0.6436,0.2146,0.1748,0.0997,20.0,62.35,,,,,,,,,,,1.0,0.64,0.7419,0.6859,0.7296,0.7516,0.7396,0.7029,0.7059,,,,,,,,,,,,0.96,0.825,0.7838,0.75,0.7904,0.7413,0.7541,0.7059,,,,,,,,,,,,0.6,0.825,0.7368,0.7037,0.79,0.7396,0.7029,0.7059
NCI-H1693,281,71,12,18.47,0.5185,0.5523,0.5468,0.5261,0.4815,0.4771,0.4129,0.4521,0.5087,0.5212,0.5523,0.4728,0.4423,0.1828,0.1519,0.0917,50.7,69.01,1.0,1.0,0.5,0.5,0.3333,0.25,0.25,0.2,0.6,0.5,0.2308,0.5833,0.7202,0.6008,0.5333,0.5307,0.4895,0.4657,0.5185,,,,,,,,,,,0.0714,0.5556,0.558,0.5967,0.5364,0.4848,0.4444,0.5048,0.5185,,,,,,,,0.2,0.1667,0.1429,0.1923,0.6706,0.587,0.5967,0.5881,0.4848,0.4895,0.4657,0.5185
NCI-H1703,266,67,12,52.25,0.4472,0.4375,0.4981,0.4449,0.4778,0.4259,0.4333,0.4833,0.4269,0.4903,0.4231,0.4463,0.5046,0.3662,0.2238,0.2813,0.0,28.36,,,0.5,0.5,0.5,0.5,0.5,0.5,0.4167,0.4167,0.4167,0.4259,0.4,0.425,0.4103,0.4032,0.4286,0.4347,0.4472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.1667,0.325,0.3265,0.4012,0.4015,0.4066,0.4333,0.4162,0.4289,0.4472,,,0.5,0.5,0.5,0.5,0.5,0.5,0.4167,0.4167,0.375,0.4444,0.4,0.4103,0.4103,0.4215,0.4286,0.4347,0.4472
NCI-H1734,260,66,12,49.39,0.5115,0.5599,0.5475,0.5005,0.53,0.4369,0.4359,0.3982,0.4406,0.6014,0.4378,0.5618,0.5115,0.3635,0.2154,0.2718,0.0,45.45,,,,0.0,0.3333,0.3333,0.3333,0.5,0.5,0.6,0.4222,0.4141,0.4056,0.4173,0.4501,0.4667,0.4839,0.5056,0.5115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.4082,0.43,0.467,0.4222,0.4185,0.4545,0.4729,0.4928,0.5115,,,,0.0,0.0,0.0,0.1667,0.375,0.375,0.4167,0.475,0.4141,0.4167,0.4037,0.445,0.4667,0.487,0.5056,0.5115
NCI-H1755,321,81,12,41.54,0.7481,0.6781,0.6235,0.6494,0.6802,0.6759,0.6136,0.6611,0.6716,0.7568,0.6623,0.7173,0.7142,0.36,0.2183,0.2742,0.0,34.57,,,,,,,,,1.0,1.0,0.8182,0.7917,0.7727,0.7698,0.7742,0.7486,0.7671,0.7614,0.7481,,,,,1.0,1.0,1.0,1.0,1.0,0.9444,0.9143,0.8611,0.8016,0.759,0.7534,0.7525,0.732,0.7432,0.7481,,,,,,,1.0,1.0,1.0,1.0,0.7308,0.7917,0.7851,0.7698,0.7706,0.7649,0.7671,0.7614,0.7481
NCI-H1770,298,75,12,44.5,0.4861,0.5381,0.6422,0.4963,0.5469,0.4883,0.4194,0.445,0.4538,0.4732,0.4861,0.5227,0.4362,0.374,0.2218,0.2909,0.0,33.33,1.0,1.0,0.5,0.5,0.3333,0.25,0.2,0.2,0.1667,0.1429,0.4773,0.525,0.5024,0.563,0.542,0.5015,0.4642,0.4779,0.4861,0.0,0.0,0.0,0.0,0.0,0.1667,0.25,0.25,0.2,0.3333,0.4815,0.4167,0.43,0.4554,0.4538,0.4667,0.4536,0.4551,0.4861,1.0,1.0,0.5,0.5,0.3333,0.6667,0.625,0.625,0.6,0.5,0.4773,0.4732,0.5024,0.5341,0.4897,0.4971,0.4815,0.4652,0.4861
NCI-H1781,322,81,12,31.76,0.5797,0.5676,0.5899,0.6053,0.614,0.595,0.5022,0.5563,0.5577,0.5168,0.5475,0.5746,0.5987,0.2956,0.2055,0.1901,0.0,43.21,,,1.0,0.6667,0.5,0.5,0.4,0.7,0.5833,0.5,0.6,0.5714,0.6,0.5455,0.6059,0.6182,0.6067,0.5918,0.5797,,,,,0.5,0.5,0.4,0.3333,0.2857,0.25,0.5385,0.4649,0.44,0.5061,0.4572,0.5016,0.5221,0.5659,0.5797,,,,0.6667,0.5,0.5,0.4,0.3333,0.2857,0.25,0.6,0.5397,0.475,0.5394,0.5321,0.5897,0.5835,0.6122,0.5797
NCI-H1792,320,81,12,62.84,0.4152,0.4602,0.4298,0.5468,0.5461,0.5965,0.4744,0.4949,0.5395,0.4013,0.3501,0.3516,0.3991,0.3593,0.2099,0.2582,1.23,40.74,,,,1.0,0.75,0.75,0.875,0.9167,0.9375,0.75,0.6,0.4583,0.5462,0.5103,0.489,0.4878,0.4641,0.4127,0.4152,,,1.0,0.5,0.6667,0.6667,0.4444,0.5,0.375,0.4,0.6818,0.5779,0.5113,0.5221,0.4357,0.4131,0.4794,0.4439,0.4152,,,,1.0,1.0,1.0,1.0,0.9167,0.8,0.8,0.4697,0.5467,0.4421,0.545,0.4871,0.5159,0.4651,0.4339,0.4152
NCI-H1793,316,80,12,10.61,0.6284,0.5732,0.5878,0.4775,0.5541,0.6059,0.6532,0.6171,0.6171,0.5507,0.6081,0.5248,0.5428,0.0924,0.1006,0.0237,67.5,83.75,1.0,1.0,0.5,0.3333,0.3333,0.25,0.2,0.1667,0.1429,0.1429,0.0667,0.0435,0.0323,0.0256,0.4783,0.6038,0.7017,0.6179,0.6284,,,0.5,0.3333,0.3333,0.25,0.2,0.1667,0.1429,0.1429,0.0667,0.0435,0.0323,0.5132,0.4674,0.5786,0.6814,0.6179,0.6284,,,,,,,,,,,0.0,0.0435,0.0323,0.5132,0.4674,0.5912,0.6915,0.6179,0.6284
NCI-H1838,288,73,12,4.99,0.1739,0.183,0.3623,0.6884,0.2717,0.337,0.3696,0.6268,0.2899,0.2228,0.2464,0.8152,0.1739,0.0549,0.0674,0.0193,82.19,91.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2692,0.4561,0.4615,0.3636,0.3,0.25,0.2182,0.1935,0.1739,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.1538,0.15,0.3333,0.2745,0.3,0.25,0.2182,0.1935,0.1739,,,,,,,,,0.0,0.0,0.2692,0.2,0.2593,0.25,0.2375,0.2344,0.2182,0.1935,0.1739
NCI-H1869,334,84,12,26.08,0.643,0.581,0.6034,0.5726,0.5858,0.6136,0.6371,0.6452,0.6569,0.5979,0.5909,0.6312,0.6004,0.2554,0.1845,0.1403,10.71,54.76,,,,,1.0,0.8,0.8,0.6667,0.5714,0.7857,0.4762,0.5143,0.4643,0.3611,0.5707,0.6171,0.6632,0.6848,0.643,,,,,,0.8,0.8,0.8333,0.8571,0.875,0.5769,0.5417,0.5185,0.5791,0.5341,0.5133,0.5761,0.638,0.643,,,,,,,,,0.5714,0.7857,0.6667,0.5667,0.4524,0.5331,0.5634,0.5745,0.6322,0.6848,0.643
NCI-H1915,322,81,12,33.75,0.5725,0.6203,0.5575,0.5706,0.6,0.5974,0.7059,0.6784,0.5235,0.4435,0.5438,0.5127,0.4758,0.3142,0.2038,0.2119,1.23,43.21,,,,1.0,0.75,0.75,0.875,0.7,0.5833,0.7222,0.5833,0.5588,0.6071,0.5082,0.4922,0.5332,0.5611,0.5614,0.5725,0.0,0.0,0.5,0.6667,0.75,0.75,0.6,0.5,0.5,0.5,0.5167,0.5809,0.5476,0.545,0.6446,0.6036,0.578,0.5684,0.5725,1.0,1.0,1.0,1.0,0.75,0.75,0.6,0.7,0.5833,0.5,0.4423,0.5903,0.5413,0.5082,0.5227,0.5332,0.5381,0.5614,0.5725
NCI-H1944,322,81,12,59.8,0.5223,0.492,0.4879,0.4949,0.4668,0.4611,0.5663,0.5179,0.4943,0.5402,0.4936,0.5217,0.5051,0.3589,0.2204,0.2669,0.0,38.27,,,0.0,0.3333,0.5,0.5,0.6,0.3,0.4167,0.2778,0.2917,0.2153,0.2645,0.2529,0.3353,0.4058,0.4695,0.5141,0.5223,,,,,,,,0.5,0.6667,0.7143,0.7143,0.3889,0.4524,0.4718,0.5293,0.5606,0.5108,0.531,0.5223,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1857,0.2639,0.2603,0.2529,0.3275,0.427,0.4695,0.5141,0.5223
NCI-H1975,342,86,12,48.83,0.6207,0.625,0.5283,0.6397,0.6027,0.6266,0.5897,0.6201,0.6674,0.6084,0.5489,0.6318,0.4842,0.373,0.2231,0.2868,0.0,31.4,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7625,0.7091,0.6875,0.6732,0.6657,0.6439,0.6385,0.6286,0.6207,1.0,1.0,0.5,0.75,0.6667,0.75,0.7,0.7,0.6667,0.7143,0.8148,0.7917,0.6809,0.6196,0.6391,0.6472,0.6419,0.6336,0.6207,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7792,0.6607,0.6513,0.6623,0.6577,0.6492,0.6414,0.6279,0.6207
NCI-H1993,320,81,12,24.19,0.4775,0.596,0.506,0.4475,0.518,0.5607,0.4918,0.515,0.5405,0.4741,0.4655,0.4873,0.4723,0.2151,0.174,0.1094,25.93,59.26,1.0,1.0,0.5,0.3333,0.25,0.25,0.2,0.6,0.5,0.6667,0.4,0.5147,0.4783,0.4741,0.5078,0.4941,0.5178,0.5062,0.4775,0.0,0.0,0.0,0.3333,0.25,0.25,0.2,0.1667,0.4167,0.6111,0.5167,0.4706,0.4815,0.5165,0.5473,0.5242,0.5144,0.4744,0.4775,1.0,1.0,0.5,0.3333,0.25,0.25,0.2,0.6,0.5833,0.7222,0.4,0.4286,0.5331,0.5192,0.5098,0.5299,0.5178,0.5062,0.4775
NCI-H2009,265,67,12,36.14,0.4269,0.4303,0.3686,0.461,0.4387,0.4684,0.4931,0.5059,0.4555,0.4842,0.583,0.5,0.4348,0.33,0.1997,0.2179,0.0,50.75,1.0,1.0,1.0,1.0,0.5,0.3333,0.3333,0.5556,0.6667,0.6667,0.6042,0.4537,0.6264,0.5158,0.529,0.5148,0.4704,0.4214,0.4269,0.0,0.0,0.0,0.0,0.3333,0.25,0.25,0.2,0.1667,0.1667,0.375,0.3981,0.4278,0.4821,0.4359,0.449,0.4316,0.4452,0.4269,1.0,1.0,1.0,1.0,0.5,0.3333,0.3333,0.25,0.2,0.2,0.3958,0.5091,0.5,0.5298,0.529,0.513,0.4704,0.4214,0.4269
NCI-H2023,315,79,12,29.44,0.5541,0.5052,0.5593,0.5022,0.5563,0.5704,0.5652,0.5422,0.5289,0.6026,0.4607,0.5681,0.5867,0.2719,0.1972,0.1608,2.53,54.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182,0.4722,0.4896,0.6325,0.5252,0.576,0.5825,0.5355,0.5541,0.0,0.0,0.0,0.0,0.0,0.5,0.375,0.4,0.6,0.6,0.6545,0.5546,0.5818,0.5655,0.5818,0.54,0.5263,0.475,0.5541,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5417,0.6328,0.5652,0.5893,0.5252,0.576,0.5814,0.5355,0.5541
NCI-H2030,273,69,12,54.68,0.5,0.4679,0.4598,0.5026,0.5009,0.5376,0.4872,0.5342,0.465,0.4513,0.5222,0.5393,0.5214,0.3553,0.2163,0.2614,0.0,33.33,1.0,1.0,1.0,1.0,0.5,0.6667,0.6667,0.4444,0.5,0.5,0.5778,0.5192,0.508,0.52,0.5195,0.5119,0.5117,0.5143,0.5,,,1.0,1.0,1.0,0.75,0.75,0.6,0.4,0.4,0.4375,0.5818,0.5573,0.5164,0.5046,0.519,0.5065,0.5165,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5556,0.5833,0.5833,0.4583,0.5364,0.508,0.5167,0.524,0.5253,0.5117,0.5143,0.5
NCI-H2085,299,75,12,37.97,0.5196,0.4918,0.4969,0.4647,0.5247,0.4835,0.4639,0.4843,0.5161,0.5538,0.544,0.5353,0.5557,0.338,0.2255,0.2459,0.0,33.33,,,1.0,1.0,0.6667,0.5,0.4,0.4,0.7,0.5833,0.7778,0.6429,0.485,0.404,0.4207,0.4869,0.5037,0.5331,0.5196,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.5,0.5,0.46,0.4902,0.4432,0.431,0.4839,0.4579,0.4801,0.5066,0.5196,1.0,1.0,1.0,1.0,1.0,1.0,0.8889,0.8889,0.8333,0.8,0.66,0.4732,0.4339,0.3464,0.4159,0.4493,0.5037,0.5121,0.5196
NCI-H2087,320,81,12,32.92,0.4842,0.4839,0.4767,0.4938,0.548,0.4753,0.4623,0.4438,0.5316,0.4753,0.5171,0.5192,0.5316,0.2878,0.1964,0.1752,0.0,49.38,,,1.0,1.0,1.0,1.0,0.6667,0.5,0.625,0.5,0.25,0.4653,0.4802,0.4312,0.5,0.4404,0.4078,0.5123,0.4842,,,,0.3333,0.1667,0.1667,0.25,0.5,0.4375,0.4,0.5286,0.539,0.4524,0.4897,0.443,0.4501,0.4641,0.4858,0.4842,,,,0.3333,0.6667,0.6667,0.7778,0.5833,0.5625,0.45,0.3939,0.5467,0.5154,0.4821,0.4129,0.4404,0.4078,0.4892,0.4842
NCI-H2110,278,70,12,50.86,0.5331,0.5314,0.4963,0.5992,0.5543,0.5567,0.4914,0.4645,0.5665,0.518,0.498,0.5902,0.4882,0.3762,0.2305,0.2981,0.0,20.0,1.0,1.0,0.5,0.5,0.3333,0.25,0.25,0.2,0.1667,0.1667,0.4889,0.4815,0.4923,0.5261,0.55,0.535,0.5262,0.5282,0.5331,,,,,0.6667,0.75,0.75,0.625,0.5,0.5,0.375,0.6091,0.5455,0.5327,0.525,0.5084,0.5319,0.5464,0.5331,1.0,1.0,0.5,0.5,0.3333,0.25,0.25,0.2,0.6,0.6,0.4667,0.4907,0.5204,0.5658,0.5455,0.54,0.5293,0.5282,0.5331
NCI-H2122,320,81,12,56.61,0.5743,0.6572,0.624,0.6661,0.5451,0.6074,0.6419,0.5723,0.5166,0.5468,0.4443,0.5696,0.4264,0.3492,0.2152,0.2518,0.0,40.74,,,,,0.75,0.75,0.6,0.5,0.6667,0.5714,0.5667,0.4912,0.5417,0.5687,0.5587,0.586,0.594,0.5845,0.5743,0.0,0.0,0.5,0.3333,0.25,0.25,0.375,0.4,0.4167,0.5,0.6667,0.6688,0.5615,0.5725,0.5341,0.5581,0.5645,0.5728,0.5743,1.0,1.0,0.5,0.6667,0.75,0.75,0.6,0.8,0.6667,0.5714,0.4423,0.5833,0.5652,0.5489,0.5914,0.5847,0.594,0.5845,0.5743
NCI-H2135,326,82,12,21.81,0.472,0.5045,0.4674,0.475,0.4818,0.528,0.4636,0.4818,0.4538,0.411,0.5894,0.4629,0.5197,0.2232,0.181,0.1294,28.05,53.66,,,,1.0,0.75,0.75,0.875,0.7,0.5833,0.5,0.2333,0.5833,0.71,0.761,0.7166,0.6097,0.6271,0.5376,0.472,,,,,0.75,0.75,0.875,0.7,0.5833,0.7222,0.6346,0.5595,0.6429,0.6939,0.659,0.6125,0.5894,0.5157,0.472,,,,1.0,0.75,0.75,0.875,0.7,0.5833,0.5,0.5,0.5595,0.6429,0.6939,0.7148,0.6776,0.5989,0.5376,0.472
NCI-H2170,316,80,12,36.36,0.3887,0.4193,0.4258,0.4753,0.472,0.4421,0.4193,0.3828,0.4434,0.4193,0.3887,0.4141,0.4368,0.3032,0.1948,0.1823,0.0,56.25,,,0.0,0.0,0.0,0.3333,0.2222,0.1667,0.375,0.375,0.4531,0.5455,0.4844,0.4925,0.4896,0.441,0.4117,0.3721,0.3887,1.0,1.0,0.5,0.25,0.25,0.1667,0.2222,0.1667,0.2667,0.2667,0.2833,0.3427,0.3198,0.4311,0.4261,0.4321,0.4246,0.4219,0.3887,0.0,0.0,0.5,0.6667,0.6667,0.6667,0.5,0.4167,0.375,0.375,0.5079,0.3286,0.4196,0.5163,0.4896,0.4725,0.4117,0.396,0.3887
NCI-H2172,273,69,12,11.4,0.6037,0.5917,0.6741,0.613,0.6333,0.5981,0.6,0.6333,0.6778,0.5519,0.4185,0.4889,0.4833,0.1001,0.1021,0.027,69.57,82.61,,,,,,,,,,,,0.8,0.7885,0.7292,0.7105,0.7209,0.724,0.6708,0.6037,,,,,,,,,,,,0.65,0.8267,0.7604,0.6974,0.7209,0.7161,0.6708,0.6037,,,,,,,,,,,,0.7895,0.7308,0.7604,0.7039,0.7209,0.7188,0.6708,0.6037
