Coverage_pct,Mean_AUC_CLASS_LAG,Mean_AUC_CONS_STD,Mean_AUC_CONS_STD_PROB,N_valid_celllines
10,0.5421,0.5308,0.4622,58
20,0.5419,0.5373,0.5288,83
30,0.5453,0.5446,0.5576,93
40,0.5087,0.5439,0.5471,97
50,0.5215,0.5353,0.534,101
60,0.5296,0.5444,0.5342,102
70,0.5443,0.5446,0.5439,103
80,0.5472,0.5503,0.5483,105
90,0.5536,0.5622,0.5567,105
100,0.5815,0.5815,0.5815,105
