Cell_Line,N_train,N_test,Pct_sensitive,Overall_AUC,Mean_CLASS_LAG,Median_CLASS_LAG,Pct_confident_20pct,Pct_confident_30pct,AUC_cov010,AUC_cov020,AUC_cov030,AUC_cov040,AUC_cov050,AUC_cov060,AUC_cov070,AUC_cov080,AUC_cov090,AUC_cov100
HARA,321,81,19.65,0.7011,0.2033,0.19,53.09,85.19,0.5,0.25,0.1667,0.694,0.5439,0.7472,0.6227,0.6322,0.7,0.7011
HCC-15,322,81,7.2,0.6844,0.092,0.07,86.42,97.53,,,0.8542,0.7903,0.6282,0.5213,0.5988,0.5215,0.5851,0.6844
HCC-366,204,52,4.69,0.855,0.0487,0.035,100.0,100.0,,,,,,,,0.9878,0.95,0.855
HCC-44,314,79,29.26,0.5118,0.2637,0.25,26.58,60.76,0.4062,0.5,0.3714,0.3542,0.4067,0.4873,0.4215,0.4719,0.5045,0.5118
HCC-78,320,80,22.75,0.5877,0.2313,0.22,41.25,78.75,,0.8333,0.6591,0.7481,0.58,0.6703,0.6576,0.6482,0.6293,0.5877
HCC-827,316,80,8.33,0.7601,0.092,0.07,91.25,96.25,,,0.8913,0.6613,0.5256,0.763,0.6981,0.7396,0.682,0.7601
HOP-62,339,85,20.28,0.5701,0.1691,0.17,61.18,98.82,,,0.7955,0.7202,0.6944,0.7217,0.6719,0.674,0.624,0.5701
HOP-92,284,71,8.45,0.6061,0.1008,0.08,85.92,97.18,,,0.9524,0.8036,0.6429,0.7439,0.8071,0.7692,0.678,0.6061
IA-LM,334,84,7.18,0.5949,0.078,0.08,97.62,100.0,,,0.72,0.5455,0.439,0.6276,0.7341,0.6309,0.5608,0.5949
KNS-62,246,62,11.36,0.306,0.1235,0.115,87.1,96.77,,0.5417,0.7396,0.5379,0.4226,0.5074,0.4438,0.3859,0.3413,0.306
LC-1-sq,287,72,6.41,0.7537,0.0703,0.06,95.83,97.22,,,,,0.8143,0.7917,0.6837,0.7182,0.6371,0.7537
LC-2-ad,294,74,32.34,0.6737,0.3439,0.35,6.76,29.73,0.7083,0.5694,0.5611,0.5451,0.5452,0.6514,0.6963,0.6837,0.6276,0.6737
LCLC-103H,316,80,10.35,0.5376,0.0924,0.09,96.25,100.0,0.7857,0.5714,0.5397,0.5179,0.4028,0.3295,0.4967,0.4282,0.4582,0.5376
LCLC-97TM1,321,81,28.86,0.601,0.2695,0.27,23.46,64.2,0.7143,0.7417,0.557,0.4945,0.4848,0.4792,0.5287,0.5868,0.6145,0.601
LK-2,320,80,19.0,0.5825,0.1941,0.18,53.75,86.25,0.0,0.0,0.4432,0.6667,0.5931,0.5331,0.6903,0.6267,0.577,0.5825
LOU-NH91,321,81,8.46,0.5972,0.0738,0.05,93.83,95.06,0.5,0.4833,0.5227,0.4278,0.4932,0.525,0.531,0.459,0.55,0.5972
LU-65,342,86,5.14,0.9059,0.0705,0.05,96.51,100.0,,,,,,,,,0.9935,0.9059
LU-99A,316,79,9.62,0.4532,0.0742,0.06,97.47,98.73,0.0714,0.4286,0.5062,0.4259,0.3286,0.5969,0.5047,0.4313,0.4444,0.4532
LXF-289,342,86,24.07,0.6952,0.2587,0.26,22.09,66.28,0.0,0.0,0.4167,0.6169,0.6053,0.6397,0.7027,0.6848,0.6855,0.6952
NCI-H1155,341,86,15.22,0.4702,0.1666,0.16,66.28,93.02,0.2857,0.2444,0.3523,0.3667,0.3919,0.4143,0.4882,0.4864,0.5265,0.4702
NCI-H1299,324,82,7.64,0.4753,0.0851,0.08,95.12,98.78,,0.875,0.625,0.5968,0.6272,0.5071,0.4333,0.6,0.5304,0.4753
NCI-H1355,342,86,10.05,0.4592,0.102,0.08,93.02,95.35,0.4375,0.6667,0.7167,0.5345,0.4189,0.337,0.381,0.3318,0.3652,0.4592
NCI-H1435,316,80,4.55,0.8355,0.06,0.03,92.5,98.75,,,,,,,0.8727,0.7619,0.8286,0.8355
NCI-H1437,276,70,19.36,0.5865,0.2009,0.195,50.0,91.43,0.65,0.3636,0.4813,0.4864,0.3648,0.4512,0.3722,0.4905,0.5465,0.5865
NCI-H1563,321,81,8.71,0.5895,0.0899,0.07,92.59,97.53,,,,0.9597,0.8377,0.692,0.5895,0.5134,0.6588,0.5895
NCI-H1568,322,81,8.93,0.5636,0.0938,0.07,91.36,95.06,,0.8333,0.6742,0.4944,0.5917,0.6122,0.5791,0.4978,0.4365,0.5636
NCI-H1573,266,67,5.11,0.506,0.053,0.05,98.51,100.0,0.25,0.1154,0.075,0.0577,0.0455,0.6096,0.5265,0.4542,0.3994,0.506
NCI-H1581,338,85,21.28,0.5212,0.2231,0.22,36.47,78.82,0.5,0.7404,0.5476,0.6034,0.6371,0.5557,0.4953,0.4679,0.4775,0.5212
NCI-H1623,322,81,11.91,0.7138,0.1199,0.09,88.89,91.36,,0.8667,0.5652,0.6111,0.625,0.6841,0.6414,0.553,0.4859,0.7138
NCI-H1648,292,73,24.38,0.5817,0.2393,0.25,34.25,68.49,0.1429,0.5556,0.3509,0.2469,0.4812,0.6476,0.612,0.5638,0.5762,0.5817
NCI-H1650,334,84,4.55,0.5656,0.0496,0.03,96.43,97.62,,,0.62,0.4697,0.378,0.6276,0.6845,0.5923,0.6285,0.5656
NCI-H1651,321,81,12.69,0.524,0.1107,0.1,92.59,97.53,0.5,0.2333,0.3939,0.431,0.3378,0.2778,0.2358,0.3483,0.4179,0.524
NCI-H1666,337,85,5.69,0.6346,0.0466,0.03,97.65,98.82,0.5,0.25,0.5312,0.4609,0.5458,0.4549,0.383,0.4883,0.5319,0.6346
NCI-H1693,281,71,4.55,0.5268,0.0276,0.02,100.0,100.0,0.5,0.5,0.375,0.2778,0.2206,0.4744,0.4022,0.4769,0.5115,0.5268
NCI-H1703,266,67,22.52,0.4394,0.2425,0.25,28.36,70.15,1.0,0.697,0.6833,0.5393,0.3995,0.467,0.3933,0.3321,0.3588,0.4394
NCI-H1734,260,66,14.72,0.6394,0.1517,0.135,71.21,92.42,,0.9231,0.6316,0.8056,0.6556,0.6562,0.65,0.7375,0.7015,0.6394
NCI-H1755,321,81,18.66,0.6687,0.1847,0.18,58.02,86.42,0.5,0.2333,0.3485,0.4964,0.3861,0.436,0.4557,0.3929,0.5916,0.6687
NCI-H1770,298,75,12.87,0.6455,0.1345,0.13,85.33,98.67,,,,0.8929,0.6944,0.7063,0.6837,0.7238,0.7208,0.6455
NCI-H1781,322,81,11.41,0.7063,0.1394,0.11,85.19,92.59,,0.875,0.6458,0.4844,0.6218,0.7472,0.6344,0.5512,0.5956,0.7063
NCI-H1792,320,81,18.45,0.5736,0.1764,0.15,70.37,88.89,1.0,0.6,0.5379,0.3944,0.7216,0.6731,0.6057,0.5969,0.5173,0.5736
NCI-H1793,316,80,2.78,0.2658,0.0284,0.02,98.75,100.0,,0.9667,0.8043,0.6774,0.5385,0.4468,0.3818,0.3333,0.2958,0.2658
NCI-H1869,334,84,6.7,0.6948,0.0726,0.05,90.48,97.62,,,,0.9091,0.9062,0.875,0.8148,0.7032,0.6239,0.6948
NCI-H1915,322,81,8.44,0.4127,0.0794,0.07,98.77,100.0,,0.6667,0.5952,0.431,0.4361,0.4671,0.4052,0.4384,0.4635,0.4127
NCI-H1944,322,81,20.1,0.6239,0.2053,0.19,51.85,87.65,0.375,0.6,0.4239,0.5056,0.65,0.624,0.6968,0.6409,0.5595,0.6239
NCI-H1975,342,86,20.56,0.4943,0.2001,0.19,51.16,84.88,0.1429,0.3,0.3239,0.5357,0.549,0.5996,0.5296,0.4969,0.5072,0.4943
NCI-H1993,320,81,8.23,0.64,0.0835,0.06,96.3,96.3,0.6875,0.4375,0.5761,0.4435,0.5526,0.471,0.4012,0.3495,0.6517,0.64
NCI-H2009,265,67,9.94,0.499,0.1079,0.07,85.07,92.54,0.8333,0.4615,0.6316,0.7174,0.6483,0.6095,0.6571,0.5571,0.4835,0.499
NCI-H2023,315,79,7.11,0.734,0.079,0.05,91.14,94.94,,0.8,0.5652,0.4194,0.3333,0.2766,0.5509,0.653,0.7448,0.734
NCI-H2030,273,69,17.25,0.561,0.1587,0.15,72.46,95.65,0.8,0.375,0.4167,0.4427,0.5316,0.5699,0.4756,0.5727,0.58,0.561
NCI-H2085,299,75,10.7,0.5954,0.1041,0.09,94.67,98.67,,,0.7727,0.5862,0.6875,0.7024,0.7041,0.6855,0.6626,0.5954
NCI-H2087,320,81,9.98,0.7066,0.0931,0.09,95.06,98.77,,,,0.7969,0.8269,0.7021,0.7222,0.7275,0.7922,0.7066
NCI-H2110,278,70,16.67,0.5306,0.1344,0.13,80.0,100.0,0.5833,0.6818,0.5809,0.5217,0.4,0.5441,0.5718,0.5795,0.5,0.5306
NCI-H2122,320,81,29.43,0.5057,0.277,0.25,25.93,59.26,0.8056,0.8194,0.609,0.5333,0.44,0.3952,0.3739,0.4286,0.5131,0.5057
NCI-H2135,326,82,5.39,0.3702,0.0695,0.06,98.78,98.78,0.75,0.5833,0.5833,0.4611,0.364,0.2943,0.2515,0.2196,0.1948,0.3702
NCI-H2170,316,80,12.37,0.4648,0.1069,0.08,88.75,96.25,0.6429,0.6071,0.5562,0.4815,0.5022,0.5974,0.5404,0.504,0.4824,0.4648
NCI-H2172,273,69,3.22,0.5505,0.0291,0.02,98.55,98.55,,,,,0.7353,0.7625,0.7826,0.6855,0.6056,0.5505
NCI-H2228,315,79,8.63,0.6313,0.0862,0.07,98.73,98.73,,0.8333,0.5652,0.6667,0.5526,0.4565,0.5912,0.6333,0.6982,0.6313
NCI-H226,342,86,4.21,0.5703,0.0498,0.04,98.84,98.84,,0.8824,0.76,0.5588,0.4524,0.3725,0.3167,0.7172,0.6311,0.5703
NCI-H2291,278,70,5.17,0.6179,0.0356,0.03,100.0,100.0,,,0.9,0.75,0.6927,0.6973,0.5932,0.5118,0.5409,0.6179
NCI-H23,339,85,13.21,0.7453,0.132,0.12,84.71,94.12,,,0.98,0.803,0.7683,0.7361,0.7054,0.6172,0.7949,0.7453
NCI-H2342,264,67,12.39,0.6917,0.1401,0.13,77.61,94.03,,,0.775,0.74,0.6935,0.5658,0.4886,0.6429,0.6409,0.6917
NCI-H2347,271,68,7.37,0.5254,0.0759,0.055,91.18,98.53,,,0.675,0.7212,0.672,0.5482,0.463,0.5515,0.5807,0.5254
NCI-H2405,318,80,4.27,0.6775,0.0574,0.04,98.75,98.75,,,,0.8871,0.7436,0.617,0.5273,0.6895,0.6107,0.6775
NCI-H292,278,70,44.83,0.4628,0.3899,0.4,2.86,11.43,0.3333,0.4778,0.4583,0.4538,0.415,0.458,0.4633,0.4342,0.4347,0.4628
NCI-H3122,312,78,13.59,0.4018,0.1304,0.13,80.77,97.44,,0.8036,0.5873,0.5446,0.596,0.5393,0.5093,0.4352,0.4471,0.4018
NCI-H322M,339,85,8.02,0.7907,0.0907,0.08,94.12,96.47,,,,,0.9762,0.89,0.7542,0.6642,0.75,0.7907
NCI-H358,317,80,13.6,0.4531,0.1486,0.12,77.5,88.75,,0.5333,0.6984,0.6519,0.5029,0.4921,0.4133,0.5022,0.4395,0.4531
NCI-H441,321,81,1.99,0.5633,0.0217,0.01,100.0,100.0,,0.5,0.5,0.375,0.3,0.25,0.2143,0.1875,0.1667,0.5633
NCI-H460,274,69,26.24,0.6848,0.22,0.22,42.03,81.16,0.6667,0.3077,0.4605,0.5133,0.7708,0.7141,0.7286,0.7051,0.6849,0.6848
NCI-H520,317,80,15.37,0.6743,0.1623,0.14,73.75,88.75,,0.8667,0.587,0.6917,0.7072,0.6818,0.6627,0.6767,0.5934,0.6743
NCI-H522,312,78,7.18,0.4358,0.0841,0.07,96.15,97.44,,,0.9318,0.7816,0.6389,0.5227,0.4423,0.3833,0.4813,0.4358
NCI-H647,272,69,24.34,0.5148,0.2543,0.24,33.33,65.22,0.5833,0.7,0.55,0.4735,0.5598,0.5094,0.4833,0.4222,0.4723,0.5148
NCI-H650,322,81,6.7,0.45,0.0684,0.05,95.06,96.3,0.375,0.1875,0.5,0.4032,0.3205,0.4493,0.3827,0.57,0.5029,0.45
NCI-H661,318,80,9.05,0.3964,0.1224,0.1,83.75,96.25,,,0.8913,0.7874,0.6216,0.5111,0.5769,0.5021,0.443,0.3964
NCI-H720,337,85,11.14,0.5029,0.106,0.1,94.12,100.0,,0.8667,0.6667,0.6125,0.5553,0.5426,0.4522,0.3938,0.5009,0.5029
NCI-H727,317,80,7.81,0.752,0.0965,0.08,91.25,97.5,,,,,,0.9574,0.8426,0.8667,0.7647,0.752
NCI-H810,320,81,21.2,0.5918,0.2181,0.2,48.15,76.54,,0.875,0.7717,0.7167,0.7417,0.8231,0.7528,0.7066,0.6749,0.5918
NCI-H835,175,44,13.24,0.3938,0.1511,0.135,79.55,93.18,0.25,0.3929,0.4697,0.5357,0.5471,0.5278,0.4467,0.3722,0.3284,0.3938
NCI-H838,274,69,16.62,0.4585,0.1843,0.17,59.42,89.86,,0.625,0.5648,0.5521,0.4274,0.4757,0.4,0.4583,0.4035,0.4585
PC-14,323,81,17.08,0.6072,0.1715,0.16,61.73,91.36,0.4286,0.3571,0.381,0.4,0.4048,0.4286,0.426,0.5379,0.513,0.6072
PC-3_[JPC-3],266,67,8.11,0.4635,0.0588,0.05,97.01,97.01,0.8333,0.5769,0.375,0.56,0.4375,0.359,0.3111,0.2692,0.2373,0.4635
RERF-LC-KJ,322,81,9.93,0.6087,0.093,0.07,88.89,96.3,,0.5312,0.3542,0.2656,0.5321,0.6268,0.7353,0.6356,0.618,0.6087
RERF-LC-MS,277,70,15.56,0.5055,0.1657,0.15,67.14,92.86,0.1667,0.3542,0.4722,0.5156,0.52,0.5208,0.436,0.465,0.4069,0.5055
RERF-LC-Sq1,320,80,8.75,0.6464,0.0924,0.06,90.0,93.75,,0.6667,0.7302,0.6562,0.5278,0.4318,0.4706,0.5029,0.4419,0.6464
SK-LU-1,318,80,10.55,0.6241,0.1022,0.095,93.75,98.75,,,,0.9355,0.8288,0.8,0.6765,0.658,0.6341,0.6241
SK-MES-1,322,81,16.38,0.5066,0.1502,0.13,72.84,88.89,0.5357,0.3929,0.25,0.5525,0.4853,0.5125,0.5464,0.5134,0.5333,0.5066
SW1573,321,81,1.74,0.769,0.0188,0.01,100.0,100.0,,,,,,,0.9554,0.8828,0.8556,0.769
UMC-11,316,80,15.4,0.5243,0.172,0.16,73.75,90.0,,0.8,0.7614,0.575,0.6701,0.6209,0.6862,0.6796,0.5919,0.5243
VMRC-LCD,216,55,8.12,0.5098,0.0864,0.07,96.36,98.18,0.5,0.25,0.5667,0.4375,0.3365,0.2823,0.4907,0.439,0.383,0.5098
