Cell_Line,N_train,N_test,Pct_sensitive,Overall_AUC,Mean_CLASS_LAG,Median_CLASS_LAG,Pct_confident_20pct,Pct_confident_30pct,AUC_cov010,AUC_cov020,AUC_cov030,AUC_cov040,AUC_cov050,AUC_cov060,AUC_cov070,AUC_cov080,AUC_cov090,AUC_cov100
A427,309,78,24.03,0.5475,0.2347,0.24,34.62,69.23,0.8571,0.5,0.7407,0.6,0.6379,0.6602,0.5717,0.619,0.5833,0.5475
A549,321,81,19.15,0.624,0.1789,0.16,62.96,88.89,,0.7667,0.7083,0.6636,0.5119,0.6042,0.5035,0.4909,0.4868,0.624
ABC-1,308,78,13.73,0.5529,0.1556,0.13,78.21,89.74,,0.9333,0.8016,0.7,0.5559,0.45,0.4728,0.4898,0.5573,0.5529
BEN,275,69,9.01,0.5611,0.1028,0.08,92.75,97.1,,0.4583,0.2895,0.4067,0.3177,0.2607,0.4111,0.4745,0.4172,0.5611
CAL-12T,279,70,24.07,0.5129,0.2567,0.24,28.57,72.86,0.8,0.3333,0.4259,0.4792,0.5489,0.5224,0.5542,0.5315,0.4613,0.5129
COR-L105,317,80,17.88,0.6685,0.1535,0.14,73.75,91.25,,0.8,0.7619,0.7436,0.645,0.6581,0.6606,0.6021,0.631,0.6685
COR-L23,321,81,14.93,0.5187,0.1246,0.12,87.65,96.3,0.125,0.5167,0.5606,0.5,0.697,0.6731,0.5606,0.5278,0.5417,0.5187
Calu-3,321,81,7.21,0.841,0.0822,0.05,92.59,95.06,,0.75,0.6042,0.4531,0.3625,0.6489,0.5773,0.504,0.7632,0.841
Calu-6,339,85,9.2,0.534,0.1011,0.09,91.76,97.65,,,0.8646,0.6797,0.5305,0.4439,0.5731,0.5026,0.4414,0.534
ChaGo-K-1,275,69,7.56,0.8294,0.0743,0.06,95.65,98.55,,0.8077,0.575,0.4259,0.3382,0.2805,0.2396,0.6065,0.6917,0.8294
EBC-1,318,80,16.33,0.3923,0.1455,0.13,73.75,97.5,0.9167,0.6545,0.5294,0.4783,0.4183,0.3303,0.2728,0.295,0.3222,0.3923
EKVX,334,84,4.78,0.6924,0.0482,0.03,95.24,98.81,,,0.7,0.5303,0.4268,0.35,0.7232,0.6385,0.5685,0.6924
EMC-BAC-1,253,64,17.67,0.5616,0.1917,0.165,64.06,84.38,0.0,0.4545,0.2917,0.471,0.4866,0.3893,0.5363,0.4547,0.5512,0.5616
EMC-BAC-2,300,75,24.27,0.5101,0.2403,0.23,34.67,73.33,0.6667,0.5795,0.5441,0.4534,0.5321,0.4906,0.3994,0.455,0.4818,0.5101
EPLC-272H,322,81,31.51,0.4762,0.2988,0.3,18.52,46.91,0.7,0.5303,0.6169,0.475,0.4282,0.3275,0.3471,0.365,0.4483,0.4762
H3255,307,77,8.85,0.5515,0.0609,0.05,97.4,98.7,0.5,0.6026,0.5562,0.4213,0.4382,0.3548,0.3041,0.2614,0.3542,0.5515
