Metric,Value
Source script,gdsc_consensus_AD_z05.py
Source results,/home/medicina/GDSC_ANALYSIS/results/z0.5_weighted/gdsc_weighted_results_20260522_172746.csv
Z_THRESHOLD,-0.5
AD method,CONS-STD-PROB (Sushko 2010)
Fingerprints,"AVALON, ECFP, MACCS"
Algorithms,"RF, LR, SVM, XGB"
Ensemble size,12 (3 FP x 4 algo)
sample_weight,balanced
Cell lines,107
Mean % sensitive,19.7
Consensus AUC (100%),0.5785
Mean CONS-STD,0.1464
% CONS-STD < 0.10,39.7
% CONS-STD < 0.20,68.0
Best CLASS-LAG AUC,0.5785
Best CONS-STD AUC,0.5785
Best CONS-STD-PROB AUC (CSP_cov100),0.5785
Baseline AUC (100%),0.5785
Max AUC gain,0.0
Mean AUC 10% — CLASS-LAG,0.4916
Mean AUC 10% — CONS-STD,0.4806
Mean AUC 10% — CONS-STD-PROB,0.5327
Mean AUC 20% — CLASS-LAG,0.5596
Mean AUC 20% — CONS-STD,0.5667
Mean AUC 20% — CONS-STD-PROB,0.5685
Mean AUC 30% — CLASS-LAG,0.5513
Mean AUC 30% — CONS-STD,0.5566
Mean AUC 30% — CONS-STD-PROB,0.5522
Mean AUC 40% — CLASS-LAG,0.5553
Mean AUC 40% — CONS-STD,0.537
Mean AUC 40% — CONS-STD-PROB,0.56
Mean AUC 50% — CLASS-LAG,0.5486
Mean AUC 50% — CONS-STD,0.5487
Mean AUC 50% — CONS-STD-PROB,0.562
Mean AUC 60% — CLASS-LAG,0.556
Mean AUC 60% — CONS-STD,0.5604
Mean AUC 60% — CONS-STD-PROB,0.5498
Mean AUC 70% — CLASS-LAG,0.5518
Mean AUC 70% — CONS-STD,0.5499
Mean AUC 70% — CONS-STD-PROB,0.5491
Mean AUC 80% — CLASS-LAG,0.552
Mean AUC 80% — CONS-STD,0.5534
Mean AUC 80% — CONS-STD-PROB,0.5523
Mean AUC 90% — CLASS-LAG,0.5646
Mean AUC 90% — CONS-STD,0.5672
Mean AUC 90% — CONS-STD-PROB,0.5642
Mean AUC 100% — CLASS-LAG,0.5785
Mean AUC 100% — CONS-STD,0.5785
Mean AUC 100% — CONS-STD-PROB,0.5785
