Cell_Line,N_train,N_test,N_models,Pct_sensitive,Consensus_AUC,AUC_AVALON_RF,AUC_AVALON_LR,AUC_AVALON_SVM,AUC_AVALON_XGB,AUC_ECFP_RF,AUC_ECFP_LR,AUC_ECFP_SVM,AUC_ECFP_XGB,AUC_MACCS_RF,AUC_MACCS_LR,AUC_MACCS_SVM,AUC_MACCS_XGB,Mean_CLASS_LAG,Mean_CONS_STD,Mean_CONS_STD_PROB,Pct_AD_STD_lt010,Pct_AD_STD_lt020,CL_cov010,CL_cov020,CL_cov030,CL_cov040,CL_cov050,CL_cov060,CL_cov070,CL_cov080,CL_cov090,CL_cov100,CS_cov010,CS_cov020,CS_cov030,CS_cov040,CS_cov050,CS_cov060,CS_cov070,CS_cov080,CS_cov090,CS_cov100,CSP_cov010,CSP_cov020,CSP_cov030,CSP_cov040,CSP_cov050,CSP_cov060,CSP_cov070,CSP_cov080,CSP_cov090,CSP_cov100
A427,309,78,12,16.02,0.5953,0.587,0.5598,0.6059,0.6189,0.5408,0.5858,0.5716,0.5467,0.5911,0.5846,0.6355,0.5337,0.182,0.156,0.0839,41.03,67.95,0.8571,0.4,0.619,0.6444,0.6061,0.4878,0.4821,0.5391,0.5727,0.5953,0.5714,0.4,0.6667,0.5536,0.5859,0.4837,0.5319,0.475,0.523,0.5953,0.5714,0.4,0.7,0.6296,0.5909,0.4837,0.5532,0.5391,0.5727,0.5953
A549,321,81,12,12.69,0.5085,0.5042,0.5831,0.5845,0.4845,0.3838,0.4563,0.4113,0.4338,0.5169,0.4521,0.4831,0.5746,0.118,0.1104,0.0479,62.96,81.48,1.0,0.4667,0.6429,0.55,0.4278,0.4612,0.3889,0.5044,0.5104,0.5085,0.8571,0.4667,0.4848,0.4655,0.3649,0.35,0.3889,0.4912,0.5087,0.5085,0.125,0.4048,0.5714,0.4655,0.4278,0.35,0.3889,0.4956,0.5104,0.5085
ABC-1,308,78,12,9.33,0.4732,0.6063,0.575,0.4625,0.5393,0.5161,0.5625,0.4875,0.4357,0.4812,0.475,0.5393,0.4,0.0819,0.0861,0.0147,74.36,89.74,,0.75,0.5714,0.5536,0.4429,0.4762,0.483,0.5,0.4375,0.4732,0.9167,0.8571,0.6667,0.5268,0.4357,0.565,0.4796,0.4923,0.4353,0.4732,,,,0.3226,0.4429,0.565,0.483,0.4923,0.4353,0.4732
BEN,275,69,12,4.65,0.5312,0.4813,0.6781,0.3875,0.5688,0.4766,0.5031,0.5688,0.4406,0.4484,0.5438,0.5031,0.6094,0.0415,0.0525,0.0157,89.86,91.3,,0.9231,0.6,0.4444,0.6979,0.5726,0.6056,0.524,0.4619,0.5312,1.0,1.0,0.8421,0.6667,0.625,0.5556,0.4855,0.4214,0.4619,0.5312,,,,0.4423,0.5417,0.547,0.4722,0.4904,0.4619,0.5312
CAL-12T,279,70,12,15.19,0.8333,0.8333,0.8788,0.8295,0.6174,0.8409,0.697,0.7841,0.7045,0.6648,0.6326,0.625,0.625,0.1733,0.1675,0.0815,37.14,58.57,,,,,1.0,0.8293,0.7083,0.6182,0.7377,0.8333,,,,,0.9412,0.8049,0.6875,0.6,0.7705,0.8333,,,,,0.9412,0.8049,0.7083,0.6182,0.7377,0.8333
COR-L105,317,80,12,11.59,0.7214,0.7254,0.7621,0.784,0.7856,0.6948,0.6275,0.6369,0.7496,0.7707,0.6948,0.7512,0.7559,0.1127,0.1033,0.0459,68.75,83.75,,0.6667,0.4348,0.5833,0.6396,0.6136,0.5192,0.45,0.6659,0.7214,,0.9333,0.913,0.7011,0.5946,0.6023,0.5192,0.45,0.6659,0.7214,,0.6667,0.7391,0.6552,0.6036,0.6023,0.5192,0.5661,0.6659,0.7214
COR-L23,321,81,12,5.72,0.3622,0.4,0.2844,0.4022,0.3644,0.3356,0.3444,0.3933,0.0644,0.4111,0.4733,0.3689,0.4689,0.0493,0.0619,0.0148,85.19,90.12,0.75,0.5714,0.3636,0.4483,0.3514,0.2889,0.4,0.4605,0.4055,0.3622,,0.5,0.3478,0.2667,0.2105,0.1739,0.3923,0.3467,0.4055,0.3622,0.875,0.8125,0.8333,0.4667,0.3222,0.3318,0.3462,0.3467,0.4055,0.3622
Calu-3,321,81,12,4.48,0.9773,0.9464,0.9838,0.9675,0.961,0.9773,0.9773,0.9708,0.9383,0.9464,0.9578,0.974,0.9286,0.0573,0.0638,0.0241,80.25,85.19,,,,,,,,,1.0,0.9773,,,,,,,,,1.0,0.9773,,,,,,,,,,0.9773
Calu-6,339,85,12,5.19,0.1506,0.253,0.7108,0.3855,0.4217,0.241,0.247,0.241,0.3193,0.3765,0.1627,0.6506,0.3133,0.0564,0.0676,0.0123,83.53,90.59,0.5,0.25,0.5208,0.3906,0.3049,0.2551,0.2155,0.1894,0.1667,0.1506,0.1429,0.2,0.2917,0.2969,0.2805,0.2551,0.2155,0.1894,0.1667,0.1506,0.125,0.0625,0.2083,0.2188,0.1951,0.2041,0.2155,0.1894,0.1667,0.1506
ChaGo-K-1,275,69,12,3.2,0.4495,0.6566,0.6263,0.4444,0.7424,0.5227,0.4545,0.4242,0.4545,0.5,0.5051,0.4192,0.5556,0.0283,0.0366,0.0038,94.2,97.1,0.8333,0.3846,0.6316,0.4615,0.3636,0.3,0.2553,0.2222,0.1967,0.4495,0.8333,0.5,0.4211,0.4038,0.3485,0.3,0.2553,0.2222,0.1967,0.4495,,,,,0.2353,0.2927,0.2917,0.2037,0.1967,0.4495
