Cell_Line,N_train,N_test,N_models,Pct_sensitive,Consensus_AUC,AUC_AVALON_RF,AUC_AVALON_LR,AUC_AVALON_SVM,AUC_AVALON_XGB,AUC_ECFP_RF,AUC_ECFP_LR,AUC_ECFP_SVM,AUC_ECFP_XGB,AUC_MACCS_RF,AUC_MACCS_LR,AUC_MACCS_SVM,AUC_MACCS_XGB,Mean_CLASS_LAG,Mean_CONS_STD,Mean_CONS_STD_PROB,Pct_AD_STD_lt010,Pct_AD_STD_lt020,CL_cov010,CL_cov020,CL_cov030,CL_cov040,CL_cov050,CL_cov060,CL_cov070,CL_cov080,CL_cov090,CL_cov100,CS_cov010,CS_cov020,CS_cov030,CS_cov040,CS_cov050,CS_cov060,CS_cov070,CS_cov080,CS_cov090,CS_cov100,CSP_cov010,CSP_cov020,CSP_cov030,CSP_cov040,CSP_cov050,CSP_cov060,CSP_cov070,CSP_cov080,CSP_cov090,CSP_cov100
EBC-1,318,80,12,9.8,0.2172,0.4677,0.2055,0.4481,0.2387,0.4589,0.3503,0.4168,0.2016,0.2652,0.2661,0.2387,0.2055,0.0845,0.0823,0.0208,76.25,90.0,0.7143,0.6923,0.5,0.5385,0.4805,0.3868,0.3236,0.2782,0.244,0.2172,,0.5714,0.4286,0.5111,0.4632,0.3868,0.3236,0.2782,0.244,0.2172,0.5714,0.3214,0.2421,0.3185,0.3775,0.3868,0.3236,0.2782,0.244,0.2172
EKVX,334,84,12,2.63,0.7316,0.7443,0.6253,0.7519,0.7494,0.6975,0.6025,0.3443,0.6684,0.7684,0.7266,0.2481,0.6835,0.0207,0.029,0.0018,92.86,96.43,,,,0.8788,0.7073,0.58,0.5,0.7846,0.8141,0.7316,,,,0.697,0.6098,0.7959,0.7544,0.7744,0.8113,0.7316,,,,0.9394,0.9512,0.7347,0.7105,0.832,0.8113,0.7316
EMC-BAC-1,253,64,12,10.41,0.5776,0.6049,0.6983,0.727,0.5948,0.6853,0.5172,0.569,0.704,0.5876,0.5029,0.5575,0.6149,0.1106,0.1124,0.0448,60.94,79.69,,0.9167,0.8039,0.5942,0.4713,0.3796,0.3254,0.4583,0.4074,0.5776,,0.75,0.8039,0.5942,0.4713,0.3796,0.3254,0.4531,0.5283,0.5776,0.3333,0.5,0.6471,0.5942,0.4713,0.3796,0.3254,0.4531,0.5283,0.5776
EMC-BAC-2,300,75,12,12.27,0.3899,0.5019,0.3806,0.6101,0.3582,0.3507,0.3228,0.6101,0.2425,0.4179,0.4832,0.5485,0.3526,0.1251,0.1313,0.0446,56.0,69.33,1.0,0.6944,0.5132,0.512,0.3879,0.32,0.472,0.4097,0.4354,0.3899,0.0,0.1429,0.3167,0.4615,0.3879,0.32,0.2667,0.4313,0.4354,0.3899,0.1429,0.2857,0.3667,0.4712,0.3879,0.32,0.3794,0.3302,0.4354,0.3899
EPLC-272H,322,81,12,19.11,0.3869,0.3753,0.2636,0.396,0.4939,0.3859,0.4869,0.498,0.4343,0.4005,0.4505,0.4394,0.3939,0.1784,0.1541,0.07,41.98,71.6,0.375,0.5769,0.5614,0.6157,0.5667,0.5045,0.4148,0.4024,0.3935,0.3869,0.5,0.5577,0.4211,0.4396,0.4514,0.3694,0.3972,0.4468,0.4379,0.3869,0.8571,0.5667,0.5175,0.4505,0.4514,0.4077,0.413,0.4496,0.4391,0.3869
H3255,307,77,12,7.29,0.6361,0.6444,0.725,0.7,0.7167,0.6028,0.5889,0.6056,0.7111,0.6708,0.6806,0.7056,0.8694,0.0543,0.0624,0.0158,80.52,93.51,,0.6667,0.4348,0.6034,0.473,0.3889,0.3365,0.5085,0.5909,0.6361,1.0,0.75,0.6818,0.569,0.473,0.3889,0.5556,0.5028,0.6769,0.6361,1.0,1.0,1.0,1.0,1.0,0.7333,0.5556,0.5028,0.6769,0.6361
HARA,321,81,12,9.2,0.6574,0.5162,0.5679,0.3565,0.6466,0.7083,0.6204,0.6404,0.7315,0.6111,0.7299,0.2963,0.5602,0.1094,0.1215,0.0479,62.96,75.31,0.875,0.4375,0.2917,0.5645,0.5965,0.6222,0.5283,0.6299,0.619,0.6574,1.0,0.7857,0.7727,0.6778,0.5877,0.6111,0.6308,0.5533,0.6147,0.6574,0.4286,0.6,0.6667,0.6889,0.5877,0.6167,0.6308,0.6243,0.619,0.6574
HCC-15,322,81,12,4.96,0.6422,0.6389,0.7222,0.7556,0.7067,0.6022,0.6311,0.5756,0.7133,0.5944,0.6,0.5644,0.6489,0.0352,0.0455,0.0051,86.42,95.06,,0.5625,0.375,0.629,0.6491,0.5362,0.4568,0.3978,0.5036,0.6422,,0.5,0.6957,0.7222,0.6404,0.5362,0.4568,0.3978,0.5036,0.6422,,,,,,,0.4136,0.3978,0.5036,0.6422
HCC-366,204,52,12,3.52,0.69,0.53,0.4,0.24,0.46,0.735,0.22,0.52,0.79,0.71,0.84,0.86,0.58,0.0217,0.0252,0.0001,94.23,100.0,,,,,0.96,0.7742,0.6667,0.5854,0.7667,0.69,,,,0.7,0.72,0.7097,0.6389,0.5854,0.7667,0.69,,0.3,0.4,0.5,0.48,0.5161,0.7571,0.7875,0.7667,0.69
HCC-44,314,79,12,22.14,0.5738,0.582,0.4454,0.5765,0.5628,0.6749,0.6913,0.6594,0.6239,0.5956,0.5273,0.3898,0.5984,0.202,0.1644,0.0801,24.05,67.09,0.8571,0.5357,0.7263,0.6229,0.4719,0.5157,0.5795,0.5714,0.531,0.5738,0.5833,0.6909,0.7315,0.6229,0.4719,0.4281,0.5152,0.5385,0.531,0.5738,0.5,0.75,0.6947,0.6229,0.5352,0.4375,0.4848,0.57,0.531,0.5738
HCC-78,320,80,12,12.5,0.5405,0.375,0.3964,0.4482,0.4257,0.6959,0.5248,0.6329,0.5721,0.4043,0.6216,0.4865,0.4685,0.1234,0.1295,0.0373,51.25,76.25,,0.6667,0.6364,0.4667,0.3684,0.5259,0.5817,0.6102,0.6061,0.5405,,,0.7391,0.4667,0.3684,0.5185,0.4654,0.5042,0.4449,0.5405,,,0.6136,0.4667,0.3684,0.5185,0.5625,0.5042,0.6061,0.5405
HCC-827,316,80,12,7.07,0.728,0.656,0.8107,0.7947,0.704,0.7107,0.8347,0.7387,0.8293,0.8253,0.6827,0.7227,0.696,0.0622,0.0705,0.0184,77.5,88.75,,,,0.8333,0.6579,0.5435,0.463,0.7083,0.6838,0.728,,,0.9565,0.8333,0.6579,0.5435,0.463,0.6066,0.7493,0.728,,,,0.5484,0.5,0.4783,0.463,0.7083,0.6838,0.728
HOP-62,339,85,12,10.38,0.4541,0.5411,0.547,0.4209,0.6442,0.438,0.4359,0.5427,0.4274,0.5897,0.485,0.3921,0.578,0.0731,0.0875,0.0117,77.65,91.76,0.3333,0.1429,0.4,0.4167,0.3889,0.4683,0.3856,0.4498,0.3884,0.4541,0.125,0.4423,0.5143,0.4497,0.5333,0.5,0.442,0.4434,0.3884,0.4541,0.625,0.4,0.375,0.375,0.5515,0.5098,0.442,0.4498,0.3884,0.4541
HOP-92,284,71,12,3.66,0.3824,0.4632,0.1912,0.6961,0.4216,0.5392,0.2843,0.6814,0.3235,0.5368,0.2255,0.5588,0.2157,0.0348,0.0498,0.0063,87.32,91.55,,0.5714,0.381,0.2857,0.5735,0.65,0.5532,0.4815,0.4262,0.3824,,,0.2857,0.5741,0.5147,0.6167,0.5532,0.4815,0.4262,0.3824,,,0.7619,0.4444,0.4265,0.4667,0.4752,0.4691,0.4262,0.3824
IA-LM,334,84,12,4.31,0.4481,0.4924,0.4278,0.5291,0.3595,0.4582,0.1949,0.5241,0.5013,0.4722,0.4304,0.5443,0.4861,0.0286,0.0378,0.0022,91.67,98.81,,,0.92,0.8833,0.6974,0.5638,0.4818,0.4141,0.4986,0.4481,,0.6667,0.625,0.5625,0.5461,0.5479,0.4818,0.4141,0.3681,0.4481,,0.3125,0.36,0.3333,0.3902,0.4,0.4,0.3828,0.4986,0.4481
KNS-62,246,62,12,7.79,0.3503,0.1525,0.5311,0.5141,0.3729,0.5593,0.548,0.4068,0.4181,0.1554,0.5141,0.339,0.3559,0.0855,0.1038,0.0306,66.13,79.03,0.5,0.25,0.5588,0.413,0.3276,0.2639,0.2262,0.4397,0.3899,0.3503,0.5,0.25,0.5294,0.413,0.3276,0.2639,0.2262,0.4397,0.3899,0.3503,,0.5,0.3235,0.3261,0.3276,0.2639,0.2262,0.4397,0.3899,0.3503
LC-1-sq,287,72,12,3.9,0.5791,0.691,0.5403,0.397,0.5761,0.306,0.3104,0.2478,0.5164,0.7642,0.6866,0.2388,0.6776,0.0429,0.0641,0.0151,80.56,86.11,0.7143,0.3571,0.6,0.4444,0.3529,0.2857,0.4861,0.4242,0.5205,0.5791,0.4286,0.2857,0.1905,0.1786,0.1429,0.2857,0.4792,0.5741,0.5205,0.5791,0.0,0.4615,0.525,0.4815,0.5147,0.5,0.4653,0.5741,0.5205,0.5791
LC-2-ad,294,74,12,23.1,0.541,0.5479,0.5069,0.5473,0.5485,0.5927,0.5649,0.5259,0.546,0.4426,0.5448,0.401,0.5309,0.2356,0.1857,0.1268,5.41,55.41,,0.8077,0.7368,0.5385,0.5968,0.5376,0.5736,0.532,0.5146,0.541,0.75,0.7692,0.7167,0.64,0.5914,0.598,0.6071,0.625,0.5926,0.541,0.8571,0.8462,0.6167,0.648,0.5968,0.6047,0.6262,0.532,0.5146,0.541
LCLC-103H,316,80,12,3.54,0.6474,0.4167,0.3205,0.5833,0.3654,0.516,0.5192,0.7372,0.8205,0.766,0.4487,0.4359,0.7372,0.0281,0.0359,0.0032,95.0,96.25,,,,,,0.8511,0.7273,0.8145,0.7214,0.6474,,,,,0.8462,0.8085,0.7273,0.6349,0.7214,0.6474,,0.8667,0.8696,0.871,0.8974,0.8723,0.8909,0.75,0.7214,0.6474
LCLC-97TM1,321,81,12,18.16,0.5419,0.5311,0.5667,0.4095,0.5656,0.4287,0.4525,0.5758,0.362,0.5747,0.4842,0.3903,0.5283,0.1678,0.1551,0.0651,45.68,65.43,0.5714,0.2667,0.1739,0.3667,0.6048,0.551,0.5926,0.56,0.6141,0.5419,0.75,0.5769,0.72,0.7,0.5762,0.551,0.588,0.5673,0.5765,0.5419,0.125,0.6667,0.57,0.5643,0.619,0.551,0.5306,0.6044,0.6128,0.5419
LK-2,320,80,12,11.25,0.4769,0.4822,0.39,0.5718,0.444,0.6719,0.4321,0.5573,0.4848,0.5507,0.585,0.419,0.4321,0.1069,0.1203,0.0348,60.0,78.75,1.0,0.4286,0.2727,0.5625,0.7148,0.5719,0.5437,0.4646,0.4056,0.4769,,0.1333,0.4127,0.6519,0.6277,0.5719,0.4766,0.4646,0.4056,0.4769,,0.1333,0.1818,0.5804,0.6494,0.5719,0.4766,0.4646,0.4056,0.4769
LOU-NH91,321,81,12,4.23,0.6851,0.7078,0.7403,0.7987,0.6006,0.7744,0.724,0.8214,0.5325,0.6494,0.5844,0.2532,0.6396,0.0438,0.0443,0.0145,90.12,95.06,,,,0.7812,0.8205,0.6809,0.5818,0.5079,0.4507,0.6851,,,,0.7188,0.7821,0.6809,0.5818,0.5079,0.4507,0.6851,,,,,,0.3333,0.4636,0.4762,0.4507,0.6851
LU-99A,316,79,12,7.09,0.3059,0.2934,0.4087,0.3584,0.5936,0.4737,0.5502,0.4315,0.5046,0.4087,0.3265,0.726,0.4201,0.0648,0.0809,0.0178,75.95,87.34,0.3333,0.1429,0.3175,0.2299,0.4857,0.3953,0.4467,0.3851,0.3384,0.3059,0.1667,0.3333,0.4625,0.4107,0.4457,0.386,0.44,0.3851,0.3384,0.3059,0.0,0.1429,0.1111,0.092,0.2222,0.3535,0.44,0.3851,0.3384,0.3059
LXF-289,342,86,12,15.42,0.7646,0.7072,0.705,0.7556,0.7714,0.6171,0.6092,0.6025,0.6126,0.6171,0.7568,0.7658,0.7466,0.1596,0.1381,0.0765,52.33,72.09,0.5,0.2353,0.16,0.6979,0.5583,0.4558,0.5263,0.4615,0.5741,0.7646,0.5,0.625,0.7246,0.6667,0.5583,0.4558,0.5439,0.6693,0.7262,0.7646,0.5,0.625,0.5833,0.6875,0.5583,0.4558,0.3851,0.5719,0.6398,0.7646
NCI-H1155,341,86,12,7.49,0.5396,0.5781,0.3542,0.4521,0.3396,0.7292,0.6375,0.5562,0.6271,0.6219,0.4812,0.5646,0.4292,0.0683,0.0744,0.0193,83.72,88.37,,0.7059,0.48,0.6515,0.675,0.551,0.6571,0.575,0.5041,0.5396,,,0.48,0.3529,0.5244,0.5442,0.6357,0.575,0.5041,0.5396,0.5,0.4118,0.56,0.6176,0.7073,0.5374,0.6357,0.575,0.5041,0.5396
NCI-H1299,324,82,12,4.68,0.5769,0.5481,0.3109,0.4231,0.6538,0.4503,0.4455,0.4295,0.6699,0.6058,0.6731,0.3397,0.5385,0.0476,0.0691,0.0143,80.49,86.59,,0.75,0.5,0.375,0.5641,0.4583,0.3929,0.3438,0.5117,0.5769,0.875,0.875,0.9167,0.8438,0.5128,0.4479,0.3929,0.3438,0.6357,0.5769,,,,0.5625,0.525,0.3542,0.3304,0.3438,0.6357,0.5769
NCI-H1355,342,86,12,7.01,0.4087,0.4177,0.5262,0.4919,0.5443,0.349,0.3743,0.6329,0.4882,0.5967,0.4159,0.434,0.311,0.0723,0.0847,0.0237,79.07,86.05,0.375,0.4375,0.2917,0.4167,0.4936,0.401,0.5979,0.5207,0.4547,0.4087,1.0,0.6071,0.5455,0.5161,0.4808,0.5191,0.5926,0.5207,0.4547,0.4087,0.25,0.3125,0.3125,0.5625,0.6667,0.5277,0.5926,0.5207,0.4547,0.4087
NCI-H1435,316,80,12,3.03,0.8831,0.7641,0.8052,0.7316,0.8095,0.8442,0.7706,0.7013,0.8874,0.868,0.8745,0.7922,0.9177,0.0392,0.0462,0.0137,87.5,92.5,,,,,,,1.0,0.873,0.7746,0.8831,,,,,,,0.9636,0.873,0.7746,0.8831,,,,0.8065,0.7949,0.8085,0.8364,0.8571,0.7746,0.8831
NCI-H1437,276,70,12,10.4,0.506,0.5625,0.623,0.6048,0.4778,0.6492,0.4335,0.5242,0.5423,0.5887,0.5282,0.3246,0.629,0.0869,0.09,0.0198,72.86,91.43,,0.7692,0.8333,0.7083,0.6333,0.5135,0.4318,0.4633,0.4821,0.506,,0.8462,0.9,0.7733,0.6,0.5135,0.6054,0.5394,0.4821,0.506,0.8,0.6364,0.6125,0.6522,0.6133,0.5135,0.531,0.5452,0.4821,0.506
NCI-H1563,321,81,12,5.97,0.5895,0.6803,0.6105,0.5553,0.5526,0.6237,0.5684,0.5132,0.5447,0.6105,0.5395,0.5974,0.6053,0.0563,0.0668,0.0146,81.48,88.89,0.75,0.375,0.25,0.1875,0.15,0.6304,0.537,0.6066,0.5362,0.5895,0.5,0.375,0.25,0.1875,0.5513,0.6304,0.537,0.6066,0.5362,0.5895,0.7857,0.8,0.7727,0.7222,0.7281,0.5889,0.5943,0.6066,0.5362,0.5895
NCI-H1568,322,81,12,5.21,0.7068,0.6489,0.7145,0.642,0.6929,0.7269,0.7932,0.7562,0.7377,0.733,0.642,0.7253,0.6543,0.0429,0.0514,0.0189,85.19,90.12,,0.6875,0.4583,0.6613,0.6579,0.5435,0.5802,0.5933,0.607,0.7068,,0.5625,0.7174,0.6129,0.6404,0.5362,0.6692,0.5933,0.607,0.7068,,0.3333,0.3478,0.5429,0.5389,0.5409,0.5654,0.59,0.607,0.7068
NCI-H1573,266,67,12,3.3,0.4,0.3692,0.5923,0.3769,0.1231,0.6731,0.4615,0.8308,0.5846,0.3885,0.3385,0.4154,0.3,0.0307,0.0385,0.0049,92.54,97.01,,0.6923,0.45,0.3462,0.2727,0.225,0.5778,0.5,0.4407,0.4,,,0.4,0.3462,0.2727,0.225,0.5778,0.5,0.4407,0.4,,,,,0.0606,0.1,0.1304,0.4712,0.4407,0.4
NCI-H1581,338,85,12,13.0,0.5588,0.5192,0.5011,0.5203,0.5,0.5502,0.5053,0.5235,0.6036,0.5059,0.4776,0.6047,0.5406,0.129,0.1216,0.0458,52.94,74.12,0.5,0.5962,0.4857,0.3517,0.2684,0.3407,0.284,0.4271,0.5358,0.5588,0.0,0.5385,0.3295,0.3517,0.2684,0.2217,0.321,0.4604,0.5372,0.5588,,0.625,0.3523,0.3517,0.2684,0.2217,0.3241,0.4915,0.5808,0.5588
NCI-H1623,322,81,12,8.19,0.8197,0.793,0.8451,0.8563,0.8366,0.7923,0.7211,0.7746,0.731,0.8514,0.7493,0.8366,0.6521,0.0775,0.0791,0.0283,79.01,87.65,,,,0.8125,0.8333,0.6884,0.5864,0.5108,0.5725,0.8197,,,0.9583,0.9375,0.7308,0.6812,0.5864,0.5108,0.6647,0.8197,0.375,0.5333,0.587,0.6889,0.693,0.6377,0.5864,0.5108,0.6647,0.8197
NCI-H1648,292,73,12,16.44,0.627,0.7561,0.6298,0.7131,0.7377,0.5574,0.6025,0.6817,0.4617,0.6127,0.4563,0.4836,0.4863,0.1374,0.1214,0.0544,60.27,78.08,,0.9286,0.675,0.6049,0.4804,0.6205,0.6903,0.6467,0.6107,0.627,,,0.65,0.4821,0.6812,0.6711,0.6761,0.6489,0.6545,0.627,,0.7857,0.65,0.5926,0.6812,0.6711,0.6903,0.6489,0.6107,0.627
NCI-H1650,334,84,12,2.15,0.5885,0.3848,0.2305,0.2222,0.2881,0.7016,0.5391,0.5473,0.5844,0.7613,0.6584,0.3992,0.749,0.0225,0.0317,0.0029,89.29,97.62,,,,0.8788,0.7073,0.58,0.7456,0.7333,0.653,0.5885,,,,,0.7073,0.58,0.7544,0.7333,0.653,0.5885,0.25,0.5333,0.5,0.5156,0.5375,0.6458,0.6548,0.6923,0.653,0.5885
NCI-H1651,321,81,12,6.47,0.3544,0.5316,0.7089,0.2468,0.3671,0.5601,0.5823,0.6582,0.481,0.3797,0.5316,0.4304,0.2848,0.0652,0.0736,0.0171,76.54,91.36,,,,0.9032,0.7179,0.5957,0.5091,0.4444,0.3944,0.3544,,0.8125,0.8333,0.7812,0.65,0.5957,0.5091,0.4444,0.3944,0.3544,,,0.4583,0.4688,0.525,0.5417,0.5,0.4444,0.3944,0.3544
NCI-H1666,337,85,12,3.32,0.9187,0.8821,0.8943,0.935,0.8659,0.9553,0.8333,0.813,0.9512,0.9024,0.8049,0.8415,0.8943,0.0275,0.0313,0.0103,92.94,95.29,,,,,,,,0.9403,0.8289,0.9187,,,,,,,1.0,0.9403,0.8289,0.9187,,,,0.7879,0.7857,0.78,0.8136,0.8209,0.8289,0.9187
NCI-H1693,281,71,12,1.42,0.3993,0.5448,0.347,0.5037,0.2369,0.3806,0.5485,0.6045,0.403,0.6101,0.4291,0.4366,0.5392,0.0092,0.0157,0.0022,94.37,98.59,0.0,0.5,0.325,0.2407,0.1912,0.3917,0.3333,0.2901,0.4458,0.3993,0.0,0.0,0.325,0.2407,0.4242,0.3833,0.3333,0.2901,0.4417,0.3993,0.3333,0.4615,0.3684,0.3846,0.4297,0.4167,0.4239,0.4292,0.4292,0.3993
NCI-H1703,266,67,12,15.92,0.419,0.4012,0.5714,0.4357,0.4095,0.5738,0.4833,0.3833,0.3429,0.444,0.4738,0.4119,0.3786,0.1489,0.1306,0.0529,50.75,79.1,0.6667,0.3077,0.7037,0.7091,0.5379,0.4333,0.4756,0.4062,0.3545,0.419,,0.9231,0.5,0.5417,0.4667,0.5056,0.4675,0.4028,0.4497,0.419,,0.3077,0.5263,0.5417,0.4667,0.5111,0.4675,0.4062,0.3545,0.419
NCI-H1734,260,66,12,7.98,0.5968,0.502,0.5444,0.4597,0.4718,0.5403,0.6855,0.4879,0.5927,0.5726,0.4919,0.3992,0.6815,0.085,0.0989,0.0304,74.24,81.82,,0.5385,0.3684,0.2692,0.2188,0.5921,0.5,0.6067,0.5322,0.5968,,,,0.2308,0.2188,0.1795,0.5,0.7143,0.6429,0.5968,0.5,0.3077,0.2632,0.1923,0.1875,0.1795,0.5,0.6067,0.6562,0.5968
NCI-H1755,321,81,12,13.43,0.7324,0.7079,0.5906,0.5959,0.5853,0.6514,0.5981,0.5661,0.6141,0.7191,0.7399,0.6812,0.6002,0.1253,0.1326,0.043,49.38,71.6,,0.6875,0.6087,0.4516,0.359,0.6333,0.7286,0.6754,0.7185,0.7324,,0.6875,0.4583,0.4516,0.359,0.6167,0.6667,0.6952,0.6952,0.7324,0.625,0.5625,0.4583,0.4516,0.359,0.4928,0.6699,0.7202,0.6778,0.7324
NCI-H1770,298,75,12,6.7,0.8343,0.8043,0.7971,0.2314,0.8971,0.7157,0.8257,0.2257,0.8029,0.7071,0.5314,0.2914,0.6657,0.0677,0.0837,0.0151,77.33,86.67,,,,,,,0.9808,0.9397,0.8906,0.8343,,,,,,,0.9615,0.9649,0.8867,0.8343,,,,,,,0.9615,0.9649,0.8867,0.8343
NCI-H1781,322,81,12,8.19,0.6263,0.425,0.4737,0.4211,0.4921,0.5184,0.6553,0.4632,0.3526,0.6368,0.7368,0.7474,0.6,0.094,0.1035,0.0376,70.37,81.48,0.5,0.25,0.1667,0.125,0.1,0.5213,0.6049,0.5269,0.6051,0.6263,0.375,0.25,0.1667,0.125,0.1,0.0833,0.6049,0.5269,0.6014,0.6263,,,,0.0938,0.1,0.0833,0.6049,0.5269,0.4667,0.6263
NCI-H1792,320,81,12,10.22,0.54,0.6422,0.5489,0.54,0.5911,0.5511,0.4422,0.4778,0.58,0.4722,0.6978,0.3867,0.5889,0.1017,0.1108,0.0282,65.43,82.72,0.875,0.4375,0.2917,0.5323,0.7027,0.5778,0.4906,0.4262,0.4941,0.54,0.5,0.3125,0.2083,0.6778,0.6554,0.5722,0.4906,0.4262,0.4912,0.54,,0.25,0.2083,0.7,0.6689,0.5722,0.4906,0.4262,0.4941,0.54
NCI-H1793,316,80,12,1.52,0.5316,0.8797,0.7215,0.519,0.9114,0.2532,0.1013,0.0633,0.7089,0.2278,0.1392,0.1392,0.2152,0.0148,0.0227,0.0027,95.0,96.25,,,,,,0.8936,0.7636,0.6667,0.5915,0.5316,,,,,,,0.7091,0.6667,0.5915,0.5316,,,,,,0.617,0.6182,0.6032,0.5915,0.5316
