Metric,Value
Source script,gdsc_classLAG_AD_z0.py
Source results,/home/medicina/GDSC_ANALYSIS/results/z0_weighted/gdsc_weighted_results_20260521_154749.csv
Z_THRESHOLD,0.0
AD method,"CLASS-LAG = min(p, 1-p)"
Fingerprint,Avalon 2048-bit
Classifier,RandomForest n=100 seed=42 sample_weight=balanced
Cell lines,108
Mean % sensitive,37.6
Overall AUC,0.554
Mean CLASS-LAG,0.2971
% CLASS-LAG < 0.2,24.3
% CLASS-LAG < 0.3,46.9
Best AUC,0.5835
Best coverage col,AUC_cov020
Baseline AUC,0.554
Max AUC gain,0.0294
Mean AUC 10% coverage,0.5797
Mean AUC 20% coverage,0.5835
Mean AUC 30% coverage,0.5606
Mean AUC 40% coverage,0.5493
Mean AUC 50% coverage,0.5481
Mean AUC 60% coverage,0.5464
Mean AUC 70% coverage,0.5444
Mean AUC 80% coverage,0.5452
Mean AUC 90% coverage,0.5454
Mean AUC 100% coverage,0.554
