Cell_Line,N_train,N_test,Pct_sensitive,Overall_AUC,Mean_CLASS_LAG,Median_CLASS_LAG,Pct_confident_20pct,Pct_confident_30pct,AUC_cov010,AUC_cov020,AUC_cov030,AUC_cov040,AUC_cov050,AUC_cov060,AUC_cov070,AUC_cov080,AUC_cov090,AUC_cov100
A427,309,78,16.02,0.5953,0.1641,0.16,70.51,93.59,,0.9,0.587,0.8036,0.7803,0.7,0.7289,0.6635,0.6186,0.5953
A549,321,81,12.69,0.5042,0.1121,0.08,88.89,93.83,0.6786,0.3833,0.4394,0.4526,0.475,0.4593,0.4757,0.489,0.5,0.5042
ABC-1,308,78,9.33,0.6339,0.0971,0.085,92.31,98.72,,,0.9091,0.725,0.7269,0.7035,0.676,0.652,0.6395,0.6339
BEN,275,69,4.65,0.4813,0.0484,0.03,98.55,98.55,,,0.6579,0.5533,0.4323,0.3547,0.3007,0.4375,0.3856,0.4813
CAL-12T,279,70,15.19,0.8258,0.164,0.15,70.0,92.86,,,,,,,,0.9537,0.8722,0.8258
COR-L105,317,80,11.59,0.7269,0.1195,0.1,86.25,96.25,0.7143,0.3333,0.4659,0.569,0.518,0.608,0.5553,0.6119,0.6824,0.7269
COR-L23,321,81,5.72,0.3833,0.0494,0.04,100.0,100.0,0.5,0.6333,0.5,0.6595,0.6306,0.5295,0.4481,0.4873,0.4291,0.3833
Calu-3,321,81,4.48,0.9448,0.0663,0.04,93.83,96.3,,,,,,,,0.9844,0.875,0.9448
Calu-6,339,85,5.19,0.25,0.0569,0.05,97.65,100.0,,0.75,0.7812,0.6484,0.5061,0.4235,0.3578,0.3144,0.2767,0.25
ChaGo-K-1,275,69,3.2,0.6616,0.0367,0.03,98.55,100.0,,,,,0.9265,0.825,0.7021,0.6111,0.541,0.6616
EBC-1,318,80,9.8,0.4677,0.097,0.08,93.75,97.5,,,0.8636,0.7069,0.5541,0.7143,0.6033,0.5201,0.5253,0.4677
EKVX,334,84,2.63,0.7443,0.0195,0.01,98.81,100.0,,0.5,0.5,0.5,0.4024,0.33,0.2845,0.6061,0.6644,0.7443
EMC-BAC-1,253,64,10.41,0.6149,0.1178,0.09,81.25,92.19,,0.5,0.3158,0.24,0.6552,0.5278,0.4524,0.526,0.4676,0.6149
EMC-BAC-2,300,75,12.27,0.5103,0.1189,0.11,86.67,97.33,,,0.75,0.6154,0.4706,0.51,0.425,0.4676,0.4965,0.5103
EPLC-272H,322,81,19.11,0.3697,0.172,0.16,62.96,93.83,0.3125,0.5119,0.6491,0.5247,0.6076,0.5225,0.4781,0.488,0.4207,0.3697
H3255,307,77,7.29,0.6444,0.0523,0.04,98.7,98.7,,0.9,0.75,0.569,0.4459,0.3667,0.3173,0.5028,0.4428,0.6444
HARA,321,81,9.2,0.5262,0.1053,0.09,90.12,91.36,0.4375,0.2188,0.6591,0.4833,0.5034,0.5182,0.5714,0.4926,0.4329,0.5262
HCC-15,322,81,4.96,0.6422,0.0452,0.03,98.77,98.77,,,,0.9032,0.7692,0.7778,0.6651,0.5779,0.5109,0.6422
HCC-366,204,52,3.52,0.53,0.0219,0.02,100.0,100.0,0.5,0.5,0.4333,0.325,0.26,0.2097,0.1806,0.1585,0.1413,0.53
HCC-44,314,79,22.14,0.5929,0.2161,0.21,48.1,75.95,0.8571,0.4333,0.7938,0.8073,0.6559,0.5724,0.4728,0.5475,0.5556,0.5929
HCC-78,320,80,12.5,0.3491,0.132,0.1,83.75,91.25,0.5714,0.2667,0.1739,0.6518,0.6,0.4907,0.515,0.4454,0.3914,0.3491
HCC-827,316,80,7.07,0.656,0.0729,0.05,96.25,96.25,,0.7857,0.5227,0.3833,0.3026,0.5037,0.478,0.459,0.4444,0.656
HOP-62,339,85,10.38,0.5401,0.0856,0.07,95.29,100.0,0.2857,0.3214,0.4905,0.3621,0.3851,0.3167,0.2639,0.5319,0.559,0.5401
HOP-92,284,71,3.66,0.4608,0.0445,0.04,98.59,100.0,,,,0.8148,0.6471,0.5366,0.4583,0.5679,0.5137,0.4608
IA-LM,334,84,4.31,0.4924,0.038,0.03,100.0,100.0,,,0.98,0.875,0.8205,0.75,0.6409,0.6175,0.5479,0.4924
KNS-62,246,62,7.79,0.1525,0.0931,0.08,88.71,100.0,0.75,0.4167,0.5625,0.4091,0.3214,0.2571,0.2195,0.1915,0.1698,0.1525
LC-1-sq,287,72,3.9,0.691,0.045,0.03,97.22,98.61,,0.6429,0.4286,0.3214,0.5515,0.4524,0.3878,0.3393,0.5215,0.691
