Cell_Line,N_train,N_test,Pct_sensitive,Overall_AUC,Mean_CLASS_LAG,Median_CLASS_LAG,Pct_confident_20pct,Pct_confident_30pct,AUC_cov010,AUC_cov020,AUC_cov030,AUC_cov040,AUC_cov050,AUC_cov060,AUC_cov070,AUC_cov080,AUC_cov090,AUC_cov100
LC-2-ad,294,74,23.1,0.553,0.2385,0.22,33.78,75.68,0.2917,0.4886,0.2961,0.2163,0.3188,0.4549,0.4688,0.4684,0.5187,0.553
LCLC-103H,316,80,3.54,0.4167,0.0307,0.02,100.0,100.0,,,,,0.8289,0.7065,0.6019,0.5242,0.4643,0.4167
LCLC-97TM1,321,81,18.16,0.5249,0.1649,0.15,65.43,87.65,,0.7167,0.6212,0.6357,0.4944,0.6296,0.6277,0.6274,0.5464,0.5249
LK-2,320,80,11.25,0.4993,0.1143,0.09,87.5,96.25,0.8571,0.5357,0.4683,0.5667,0.5392,0.5139,0.43,0.5131,0.5,0.4993
LOU-NH91,321,81,4.23,0.6899,0.0564,0.03,93.83,95.06,,,,,0.925,0.8777,0.7682,0.7446,0.6595,0.6899
LU-99A,316,79,7.09,0.2934,0.0672,0.05,98.73,98.73,0.4167,0.4231,0.4625,0.3482,0.4029,0.3279,0.2765,0.239,0.3245,0.2934
LXF-289,342,86,15.42,0.6898,0.1657,0.14,67.44,86.05,,,0.7,0.7552,0.6891,0.6574,0.6364,0.6129,0.5848,0.6898
NCI-H1155,341,86,7.49,0.6073,0.0829,0.08,94.19,100.0,0.625,0.2941,0.2,0.1471,0.119,0.098,0.7714,0.6797,0.5959,0.6073
NCI-H1299,324,82,4.68,0.5513,0.0461,0.04,100.0,100.0,,,1.0,0.8871,0.864,0.7234,0.6182,0.5397,0.4789,0.5513
NCI-H1355,342,86,7.01,0.4096,0.0781,0.06,95.35,97.67,0.25,0.5469,0.6087,0.4479,0.3583,0.5298,0.5167,0.5219,0.4557,0.4096
NCI-H1435,316,80,3.03,0.7554,0.0379,0.01,93.75,98.75,,,,0.871,0.7949,0.6702,0.5727,0.5,0.7036,0.7554
NCI-H1437,276,70,10.4,0.5585,0.1046,0.09,95.71,98.57,0.0833,0.0385,0.5648,0.4467,0.349,0.2863,0.5432,0.5517,0.5485,0.5585
NCI-H1563,321,81,5.97,0.6776,0.0605,0.04,97.53,100.0,,0.7812,0.5625,0.4219,0.3375,0.6064,0.5273,0.6237,0.5524,0.6776
NCI-H1568,322,81,5.21,0.652,0.0489,0.02,95.06,95.06,,0.75,0.6739,0.5645,0.5921,0.6111,0.6,0.589,0.5187,0.652
NCI-H1573,266,67,3.3,0.3654,0.0349,0.03,100.0,100.0,,,0.675,0.5192,0.4091,0.609,0.5278,0.4567,0.4025,0.3654
NCI-H1581,338,85,13.0,0.5085,0.1347,0.12,84.71,91.76,0.3214,0.4423,0.4143,0.3,0.4444,0.3701,0.3073,0.4784,0.4642,0.5085
NCI-H1623,322,81,8.19,0.7739,0.0999,0.06,88.89,91.36,0.875,0.6875,0.663,0.5081,0.5746,0.4891,0.4167,0.5061,0.4475,0.7739
NCI-H1648,292,73,16.44,0.7555,0.1495,0.14,79.45,94.52,,,,0.7679,0.7304,0.6138,0.5938,0.6871,0.7768,0.7555
NCI-H1650,334,84,2.15,0.3848,0.022,0.01,100.0,100.0,,0.5,0.4,0.5625,0.5,0.4388,0.5565,0.4795,0.4269,0.3848
NCI-H1651,321,81,6.47,0.5348,0.0677,0.05,95.06,98.77,,,,,0.9625,0.883,0.7682,0.6706,0.5951,0.5348
NCI-H1666,337,85,3.32,0.8801,0.0278,0.01,96.47,98.82,,,,,,,0.9068,0.7985,0.7039,0.8801
NCI-H1693,281,71,1.42,0.5448,0.0055,0.0,100.0,100.0,,,0.5,0.5,0.5,0.5,0.4479,0.5648,0.6083,0.5448
NCI-H1703,266,67,15.92,0.4179,0.1527,0.13,73.13,92.54,0.5,0.2308,0.7037,0.5278,0.6345,0.5929,0.5081,0.434,0.4643,0.4179
NCI-H1734,260,66,7.98,0.502,0.1,0.09,93.94,96.97,,,0.7632,0.68,0.5484,0.6171,0.5189,0.4567,0.5558,0.502
NCI-H1755,321,81,13.43,0.6994,0.1217,0.1,83.95,97.53,0.9375,0.7667,0.5543,0.4113,0.5395,0.6341,0.6814,0.6746,0.6716,0.6994
NCI-H1770,298,75,6.7,0.8014,0.0785,0.08,96.0,100.0,,,,,0.9189,0.7727,0.6538,0.7457,0.8262,0.8014
NCI-H1781,322,81,8.19,0.4132,0.0985,0.08,91.36,95.06,0.5357,0.25,0.163,0.4,0.3421,0.2826,0.3962,0.3443,0.3043,0.4132
NCI-H1792,320,81,10.22,0.6422,0.1235,0.1,86.42,93.83,,,0.75,0.75,0.6218,0.6667,0.5679,0.623,0.6294,0.6422
NCI-H1793,316,80,1.52,0.8797,0.0124,0.01,100.0,100.0,,,,,,,,,,0.8797
NCI-H1869,334,84,5.02,0.4633,0.0595,0.05,96.43,100.0,0.6875,0.3438,0.22,0.5469,0.4438,0.5069,0.4345,0.581,0.5155,0.4633
NCI-H1915,322,81,4.22,0.075,0.0575,0.04,100.0,100.0,0.6875,0.375,0.25,0.1875,0.15,0.125,0.1071,0.0938,0.0833,0.075
NCI-H1944,322,81,12.16,0.5244,0.1322,0.12,82.72,96.3,,0.9062,0.7283,0.5403,0.6926,0.5694,0.4835,0.5367,0.4735,0.5244
NCI-H1975,342,86,13.79,0.4115,0.1398,0.135,84.88,96.51,0.2143,0.5154,0.4208,0.3878,0.3016,0.2413,0.2983,0.2623,0.3116,0.4115
NCI-H1993,320,81,3.24,0.7955,0.0415,0.02,96.3,97.53,,,,,,0.9375,0.875,0.8452,0.819,0.7955
NCI-H2009,265,67,4.82,0.4423,0.0575,0.03,92.54,98.51,,0.5385,0.35,0.2692,0.2121,0.175,0.1522,0.5529,0.4873,0.4423
NCI-H2023,315,79,5.08,0.8377,0.0622,0.03,93.67,94.94,,,,,,,,0.9355,0.8286,0.8377
NCI-H2030,273,69,10.53,0.4098,0.1028,0.08,86.96,100.0,0.3333,0.5625,0.4815,0.3467,0.4315,0.4432,0.6082,0.5208,0.4545,0.4098
NCI-H2085,299,75,6.68,0.4931,0.0687,0.06,96.0,100.0,,,,0.7586,0.5946,0.7093,0.71,0.6228,0.5462,0.4931
NCI-H2087,320,81,5.74,0.4821,0.0652,0.05,98.77,100.0,0.75,0.65,0.4457,0.3306,0.2628,0.2181,0.1864,0.4382,0.538,0.4821
NCI-H2110,278,70,10.34,0.5565,0.0847,0.09,100.0,100.0,0.3333,0.1538,0.1,0.4904,0.7633,0.6324,0.5318,0.5317,0.4664,0.5565
NCI-H2122,320,81,23.69,0.583,0.2211,0.21,40.74,76.54,0.4643,0.6417,0.5317,0.4325,0.4565,0.5182,0.5495,0.47,0.5406,0.583
NCI-H2135,326,82,3.19,0.179,0.0373,0.03,100.0,100.0,,0.7812,0.6042,0.4531,0.3625,0.2959,0.2544,0.2231,0.1986,0.179
NCI-H2170,316,80,5.81,0.5173,0.0591,0.04,96.25,98.75,0.7143,0.5357,0.3523,0.2583,0.2039,0.1685,0.1435,0.5271,0.5776,0.5173
NCI-H2172,273,69,2.63,0.5735,0.0291,0.02,98.55,98.55,,,,,,0.9024,0.8125,0.7091,0.629,0.5735
NCI-H2228,315,79,6.35,0.5925,0.0589,0.05,98.73,98.73,0.7143,0.4,0.5341,0.3917,0.3092,0.2554,0.2176,0.5479,0.6553,0.5925
NCI-H226,342,86,1.87,0.494,0.0229,0.02,100.0,100.0,,0.5,0.38,0.2794,0.2262,0.1863,0.1583,0.1397,0.5461,0.494
NCI-H2291,278,70,4.31,0.6979,0.0343,0.03,100.0,100.0,,,,0.8269,0.7273,0.7094,0.6159,0.5346,0.5953,0.6979
NCI-H23,339,85,8.49,0.6909,0.0885,0.08,92.94,100.0,0.6875,0.3438,0.5521,0.4375,0.3415,0.2857,0.2414,0.2121,0.4212,0.6909
NCI-H2342,264,67,9.37,0.6988,0.1067,0.09,91.04,97.01,,0.9231,0.6,0.4615,0.3636,0.7325,0.6402,0.6575,0.7106,0.6988
NCI-H2347,271,68,5.01,0.3864,0.061,0.04,95.59,100.0,0.8333,0.5769,0.375,0.2778,0.2273,0.1875,0.5543,0.4811,0.425,0.3864
NCI-H2405,318,80,2.51,0.962,0.0459,0.03,96.25,97.5,,,,,,,,,,0.962
NCI-H292,278,70,32.18,0.5641,0.3294,0.33,7.14,34.29,,0.9545,0.7375,0.5758,0.6261,0.55,0.4526,0.4404,0.5431,0.5641
NCI-H3122,312,78,8.97,0.4062,0.0792,0.07,100.0,100.0,0.8571,0.5,0.6364,0.6322,0.5857,0.5881,0.504,0.5132,0.45,0.4062
NCI-H322M,339,85,6.84,0.7982,0.0688,0.05,95.29,96.47,,,,,,0.94,0.839,0.7388,0.6513,0.7982
NCI-H358,317,80,8.31,0.598,0.1001,0.08,88.75,97.5,,,0.7609,0.6667,0.5263,0.4348,0.6731,0.6712,0.591,0.598
NCI-H441,321,81,1.0,0.9812,0.0135,0.0,100.0,100.0,,,,,,,,,,0.9812
NCI-H460,274,69,18.08,0.7252,0.1723,0.16,66.67,91.3,,0.9167,0.6316,0.4615,0.5521,0.751,0.6768,0.6696,0.665,0.7252
NCI-H520,317,80,11.08,0.5851,0.1064,0.09,87.5,95.0,,0.8333,0.5435,0.7241,0.6771,0.554,0.4688,0.602,0.589,0.5851
NCI-H522,312,78,4.36,0.5844,0.0458,0.04,100.0,100.0,,,,,,0.9674,0.8333,0.7258,0.6429,0.5844
NCI-H647,272,69,15.54,0.431,0.1616,0.15,75.36,91.3,,0.7083,0.6875,0.619,0.5324,0.4228,0.3506,0.2995,0.4094,0.431
NCI-H650,322,81,2.98,0.3513,0.0291,0.02,100.0,100.0,0.5,0.4375,0.2917,0.2188,0.175,0.5585,0.5045,0.4405,0.3908,0.3513
NCI-H661,318,80,6.03,0.1859,0.0949,0.085,93.75,96.25,,0.8333,0.6591,0.4833,0.3816,0.3152,0.2685,0.2339,0.2071,0.1859
NCI-H720,337,85,8.77,0.3418,0.0846,0.08,95.29,100.0,0.1875,0.0938,0.5435,0.5083,0.5053,0.4174,0.3491,0.3048,0.3803,0.3418
NCI-H727,317,80,5.04,0.6184,0.0522,0.05,98.75,98.75,,0.7333,0.5,0.371,0.5855,0.4837,0.412,0.3589,0.5411,0.6184
NCI-H810,320,81,11.97,0.5363,0.1223,0.11,87.65,96.3,0.375,0.6,0.4565,0.5333,0.4342,0.6512,0.5588,0.614,0.5385,0.5363
NCI-H835,175,44,7.31,0.4125,0.0827,0.07,97.73,100.0,0.875,0.5625,0.3462,0.2647,0.5375,0.5556,0.6111,0.5156,0.4583,0.4125
NCI-H838,274,69,9.91,0.5346,0.1154,0.09,86.96,94.2,0.9167,0.4615,0.3,0.5865,0.4621,0.3813,0.5399,0.4686,0.4139,0.5346
PC-14,323,81,10.89,0.7317,0.1215,0.1,87.65,93.83,,,0.9167,0.7344,0.8784,0.7222,0.6132,0.6267,0.6797,0.7317
PC-3_[JPC-3],266,67,6.31,0.5423,0.0449,0.03,97.01,100.0,,,0.675,0.5385,0.4242,0.35,0.3043,0.2642,0.5975,0.5423
RERF-LC-KJ,322,81,5.71,0.5114,0.0625,0.05,96.3,98.77,,0.9167,0.6848,0.5161,0.4103,0.3404,0.5185,0.4597,0.4071,0.5114
RERF-LC-MS,277,70,8.65,0.5795,0.1054,0.09,90.0,98.57,,0.5385,0.35,0.2593,0.2059,0.1707,0.5479,0.7308,0.6483,0.5795
RERF-LC-Sq1,320,80,5.25,0.7865,0.0524,0.03,93.75,97.5,,0.8,0.6739,0.5,0.3974,0.5978,0.5093,0.6011,0.7075,0.7865
SK-LU-1,318,80,5.78,0.5227,0.0556,0.045,98.75,100.0,,,0.7174,0.6917,0.5526,0.6875,0.5817,0.5042,0.4449,0.5227
SK-MES-1,322,81,8.68,0.4784,0.0772,0.05,87.65,96.3,0.625,0.6333,0.5606,0.4111,0.5611,0.5504,0.5414,0.5318,0.4663,0.4784
SW1573,321,81,0.5,0.45,0.0014,0.0,100.0,100.0,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.45
UMC-11,316,80,8.33,0.4933,0.102,0.085,91.25,98.75,,0.7,0.4565,0.625,0.6486,0.5333,0.4528,0.6271,0.5522,0.4933
VMRC-LCD,216,55,4.8,0.6179,0.0475,0.04,96.36,100.0,,,0.7812,0.5952,0.463,0.3906,0.3289,0.2907,0.2551,0.6179
