Coverage_pct,Mean_AUC_CLASS_LAG,Mean_AUC_CONS_STD,Mean_AUC_CONS_STD_PROB,N_valid_celllines
10,0.4916,0.4806,0.5327,75
20,0.5596,0.5667,0.5685,90
30,0.5513,0.5566,0.5522,98
40,0.5553,0.537,0.56,103
50,0.5486,0.5487,0.562,105
60,0.556,0.5604,0.5498,106
70,0.5518,0.5499,0.5491,106
80,0.552,0.5534,0.5523,107
90,0.5646,0.5672,0.5642,107
100,0.5785,0.5785,0.5785,107
