Cell_Line,N_train,N_test,Pct_sensitive,Overall_AUC,Mean_CLASS_LAG,Median_CLASS_LAG,Pct_confident_20pct,Pct_confident_30pct,AUC_cov010,AUC_cov020,AUC_cov030,AUC_cov040,AUC_cov050,AUC_cov060,AUC_cov070,AUC_cov080,AUC_cov090,AUC_cov100
NCI-H1703,266,67,52.25,0.4287,0.3828,0.4,4.48,13.43,0.8333,0.8,0.5962,0.5154,0.4487,0.4179,0.4119,0.411,0.4234,0.4287
NCI-H1734,260,66,49.39,0.5571,0.3738,0.39,6.06,22.73,0.4583,0.4778,0.478,0.4611,0.4662,0.4795,0.5063,0.5257,0.5445,0.5571
NCI-H1755,321,81,41.54,0.6843,0.3641,0.39,7.41,25.93,0.9643,0.8357,0.763,0.7629,0.7065,0.6532,0.6695,0.7141,0.7038,0.6843
NCI-H1770,298,75,44.5,0.5154,0.3903,0.42,5.33,12.0,0.5,0.4907,0.5423,0.5317,0.4986,0.458,0.4911,0.5232,0.5143,0.5154
NCI-H1781,322,81,31.76,0.5592,0.3025,0.32,20.99,44.44,0.575,0.625,0.6287,0.6687,0.5769,0.5696,0.5962,0.5806,0.5704,0.5592
NCI-H1792,320,81,62.84,0.4587,0.3757,0.39,3.7,19.75,0.7143,0.55,0.6233,0.494,0.4872,0.4195,0.3875,0.3759,0.4005,0.4587
NCI-H1793,316,80,10.61,0.5833,0.0975,0.09,93.75,100.0,,0.6,0.3913,0.2903,0.2308,0.6815,0.6803,0.6695,0.654,0.5833
NCI-H1838,288,73,4.99,0.1812,0.0644,0.04,91.78,97.26,0.4167,0.1923,0.3596,0.2778,0.3788,0.3125,0.2604,0.2273,0.2016,0.1812
NCI-H1869,334,84,26.08,0.5938,0.2604,0.26,27.38,64.29,,0.8558,0.6792,0.6226,0.5055,0.5962,0.5873,0.5649,0.5817,0.5938
NCI-H1915,322,81,33.75,0.6072,0.3359,0.34,8.64,34.57,0.4286,0.4519,0.5317,0.5913,0.5824,0.5767,0.5037,0.5476,0.5506,0.6072
NCI-H1944,322,81,59.8,0.5057,0.369,0.39,6.17,19.75,0.2222,0.4286,0.5256,0.487,0.3821,0.4194,0.4866,0.4872,0.4786,0.5057
NCI-H1975,342,86,48.83,0.6296,0.3858,0.4,4.65,15.12,0.7143,0.7403,0.7219,0.7126,0.6989,0.6659,0.6632,0.6582,0.6412,0.6296
NCI-H1993,320,81,24.19,0.5952,0.2131,0.2,48.15,83.95,0.375,0.325,0.205,0.4375,0.4062,0.4617,0.5299,0.5588,0.5152,0.5952
NCI-H2009,265,67,36.14,0.4244,0.3396,0.37,11.94,31.34,0.5833,0.7556,0.6204,0.544,0.5,0.4734,0.4741,0.4695,0.426,0.4244
NCI-H2023,315,79,29.44,0.5074,0.2797,0.27,18.99,56.96,0.2333,0.5159,0.4964,0.4562,0.3803,0.334,0.3625,0.3454,0.4727,0.5074
NCI-H2030,273,69,54.68,0.4885,0.3777,0.38,4.35,11.59,0.75,0.5833,0.5741,0.5417,0.5474,0.5137,0.5201,0.4974,0.4825,0.4885
NCI-H2085,299,75,37.97,0.4745,0.3568,0.39,8.0,25.33,0.25,0.2963,0.3417,0.395,0.44,0.5105,0.4508,0.4762,0.4594,0.4745
NCI-H2087,320,81,32.92,0.4935,0.3106,0.31,16.05,49.38,0.6667,0.4722,0.2917,0.3554,0.4418,0.4432,0.543,0.5493,0.5046,0.4935
NCI-H2110,278,70,50.86,0.5306,0.3829,0.395,1.43,15.71,0.6,0.5375,0.5694,0.5231,0.5033,0.5034,0.5125,0.5217,0.5257,0.5306
NCI-H2122,320,81,56.61,0.6446,0.3628,0.38,4.94,25.93,1.0,0.9423,0.8333,0.7761,0.7227,0.7112,0.7098,0.6946,0.6678,0.6446
NCI-H2135,326,82,21.81,0.5106,0.2095,0.195,50.0,78.05,0.75,0.5167,0.6131,0.7454,0.6983,0.64,0.5954,0.5677,0.5204,0.5106
NCI-H2170,316,80,36.36,0.4401,0.3267,0.34,11.25,38.75,0.5625,0.4603,0.6503,0.498,0.4463,0.4947,0.4876,0.474,0.4878,0.4401
NCI-H2172,273,69,11.4,0.6065,0.1164,0.1,89.86,97.1,,1.0,0.7,0.7212,0.6979,0.7486,0.6977,0.6545,0.6193,0.6065
NCI-H2228,315,79,25.13,0.6115,0.2437,0.23,35.44,72.15,,0.7564,0.4683,0.6282,0.5519,0.5219,0.5024,0.5689,0.6123,0.6115
NCI-H226,342,86,22.66,0.5573,0.2371,0.23,31.4,73.26,0.5714,0.4556,0.5524,0.39,0.506,0.5336,0.5029,0.4364,0.4899,0.5573
NCI-H2291,278,70,13.79,0.6212,0.1189,0.1,84.29,100.0,0.0833,0.0385,0.4211,0.6304,0.6454,0.5204,0.4337,0.5674,0.5809,0.6212
NCI-H23,339,85,44.58,0.5546,0.3711,0.38,9.41,20.0,0.75,0.6319,0.6095,0.6493,0.5693,0.5509,0.5221,0.5736,0.5593,0.5546
NCI-H2342,264,67,26.59,0.6224,0.2812,0.27,20.9,61.19,0.3333,0.1538,0.6667,0.6196,0.6488,0.691,0.7083,0.6589,0.5971,0.6224
NCI-H2347,271,68,29.79,0.5087,0.2859,0.28,22.06,54.41,0.0833,0.8125,0.5865,0.3875,0.496,0.5331,0.4707,0.4652,0.4875,0.5087
NCI-H2405,318,80,20.1,0.6277,0.2156,0.21,43.75,80.0,1.0,0.5714,0.5635,0.408,0.54,0.5179,0.5117,0.5657,0.5864,0.6277
NCI-H2444,274,69,8.16,0.4545,0.1012,0.09,88.41,97.1,0.6667,0.3077,0.2,0.1481,0.4621,0.3812,0.3245,0.2824,0.5,0.4545
NCI-H292,278,70,68.39,0.5666,0.3173,0.31,10.0,41.43,0.6,0.6333,0.3562,0.3674,0.4236,0.5472,0.5775,0.5535,0.5947,0.5666
NCI-H3122,312,78,40.77,0.6148,0.3588,0.375,7.69,21.79,1.0,0.7545,0.7188,0.6182,0.62,0.5514,0.5468,0.5717,0.5846,0.6148
NCI-H322M,339,85,22.17,0.5934,0.2021,0.19,51.76,84.71,0.0625,0.4333,0.6364,0.6696,0.683,0.622,0.5742,0.5476,0.6209,0.5934
NCI-H358,317,80,41.81,0.6799,0.346,0.37,12.5,30.0,0.9667,0.8889,0.7847,0.7695,0.7456,0.7142,0.6838,0.6578,0.6672,0.6799
NCI-H441,321,81,8.71,0.2539,0.0738,0.07,97.53,100.0,0.4167,0.1786,0.1136,0.4107,0.4071,0.3314,0.3757,0.3239,0.2846,0.2539
NCI-H460,274,69,51.9,0.4158,0.3855,0.41,5.8,14.49,0.5,0.4,0.3367,0.3974,0.4013,0.3912,0.3903,0.3991,0.4061,0.4158
NCI-H520,317,80,46.1,0.5425,0.4044,0.42,1.25,10.0,0.6333,0.5091,0.5664,0.5318,0.568,0.5696,0.5408,0.5526,0.5448,0.5425
NCI-H522,312,78,37.69,0.5802,0.364,0.37,2.56,19.23,0.1429,0.5641,0.6157,0.5797,0.5714,0.5701,0.5873,0.5741,0.5637,0.5802
NCI-H596,318,80,24.37,0.716,0.2197,0.2,47.5,80.0,0.3571,0.4286,0.4921,0.6795,0.6039,0.6097,0.6834,0.7071,0.6865,0.716
NCI-H647,272,69,61.88,0.6857,0.3345,0.34,10.14,31.88,,0.9394,0.7868,0.687,0.7628,0.7141,0.7422,0.7215,0.7092,0.6857
NCI-H650,322,81,35.98,0.5459,0.3199,0.33,14.81,40.74,0.3571,0.4423,0.4921,0.5283,0.5833,0.6647,0.6408,0.6019,0.5795,0.5459
NCI-H661,318,80,37.94,0.5387,0.3399,0.35,8.75,26.25,0.4333,0.5,0.4519,0.5425,0.4947,0.5139,0.5448,0.5214,0.4894,0.5387
NCI-H720,337,85,28.91,0.5741,0.2531,0.25,34.12,68.24,0.1786,0.3173,0.3333,0.4312,0.5197,0.5975,0.554,0.47,0.5621,0.5741
